"match_id","slam","year","ElapsedTime","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","GameNo","P1DistanceRun","P2DistanceRun","serving_player_won","speed_ratio","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2023-wimbledon-2101","wimbledon",2023,"0:29:24",39,"Iga Swiatek","Lin Zhu",92,2,2,2,"W","CTL",1,6,4.888,3.477,1,0.91846921797005,"swiatek i.","zhu l.",1585.50639341434,1500,1764
"2023-wimbledon-2101","wimbledon",2023,"0:29:58",40,"Iga Swiatek","Lin Zhu",101,1,2,2,"C","NCTL",3,6,12.498,12.062,0,1.00831946755408,"swiatek i.","zhu l.",1585.50639341434,1500,1798
"2023-wimbledon-2101","wimbledon",2023,"0:30:43",41,"Iga Swiatek","Lin Zhu",87,2,1,1,"BC","NCTL",1,7,4.762,5.236,0,0.858163265306122,"swiatek i.","zhu l.",1585.50639341434,1500,1843
"2023-wimbledon-2101","wimbledon",2023,"0:31:26",42,"Iga Swiatek","Lin Zhu",108,1,1,2,"BW","NCTL",12,7,50.33,56.79,0,1.06530612244898,"swiatek i.","zhu l.",1585.50639341434,1500,1886
"2023-wimbledon-2101","wimbledon",2023,"0:32:15",43,"Iga Swiatek","Lin Zhu",79,2,1,2,"BC","NCTL",6,7,18.912,21.279,1,0.779251700680272,"swiatek i.","zhu l.",1585.50639341434,1500,1935
"2023-wimbledon-2101","wimbledon",2023,"0:33:26",44,"Iga Swiatek","Lin Zhu",77,2,1,1,"BW","NCTL",9,7,4.794,4.951,0,0.759523809523809,"swiatek i.","zhu l.",1585.50639341434,1500,2006
"2023-wimbledon-2101","wimbledon",2023,"0:34:11",45,"Iga Swiatek","Lin Zhu",88,1,1,1,"BW","NCTL",1,7,8.143,6.351,1,0.868027210884354,"swiatek i.","zhu l.",1585.50639341434,1500,2051
"2023-wimbledon-2101","wimbledon",2023,"0:35:00",46,"Iga Swiatek","Lin Zhu",77,2,1,1,"BW","NCTL",3,7,6.929,9.328,0,0.759523809523809,"swiatek i.","zhu l.",1585.50639341434,1500,2100
"2023-wimbledon-2101","wimbledon",2023,"0:37:34",47,"Iga Swiatek","Lin Zhu",80,2,2,2,"C","NCTL",1,1,4.617,5.201,1,0.798668885191348,"swiatek i.","zhu l.",1585.50639341434,1500,2254
"2023-wimbledon-2101","wimbledon",2023,"0:38:07",48,"Iga Swiatek","Lin Zhu",79,2,2,2,"B","NCTL",3,1,11.489,10.051,1,0.788685524126456,"swiatek i.","zhu l.",1585.50639341434,1500,2287
