"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"carlos taberner",0.551282051282051,0.780278231773606,-1.80113523542116,-1.56809855718934,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0682801499689393,0.0533801830897265,0.0644590587188036,0.483001901313112,0.497901868192325,0.486822992563248,0.0305363444630294
"casper ruud",0.431011826544021,0.0247146930029405,0.0096367945096018,0.650140512786834,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0287665793497471,-0.03568464656676,-0.0549995891759649,0.459778405893768,0.466696473110781,0.486011415719986,0.0564955933622506
"christopher eubanks",0.488505747126437,-0.0380098993304727,-0.504633665803649,-1.36128939512242,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.00743544295761184,0.032926007225298,0.0288193784225946,0.481070304168825,0.455579739901139,0.459686368703842,-0.26887916590409
"constant lestienne",0.358333333333333,-1.79856203879722,0.467082699606825,-0.954549488618148,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.101203833366953,-0.129691103216062,-0.0417065779368083,0.459537166700286,0.488024436549395,0.400039911270142,-1.04188521391966
"corentin moutet",0.40979381443299,-1.65884643353332,0.70892009125857,0.941227954686171,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.00449480625250609,-0.00925048731843853,-0.0434252714987883,0.405299008180484,0.419044301751428,0.453219085931778,-0.827295139807133
"cristian garin",0.483606557377049,-0.470423342181102,1.22270508782377,1.16511795782291,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0184996579889957,0.0205205500479174,-0.0259185628812821,0.502106215366045,0.463086007329132,0.509525120258331,0.0824035715188668
"daniel altmaier",0.366771159874608,-0.387530853048436,-0.440864212826703,-0.60460402163873,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0919992231657944,-0.106212510828539,-0.122307540667842,0.458770383040403,0.472983670703147,0.48907870054245,-0.386044679866649
"daniel evans",0.495063469675599,-0.0868408635124017,-0.4453641012063,0.754567622734503,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.039111355782295,0.0465868125674261,0.07605962541443,0.455952113893304,0.448476657108173,0.419003844261169,-0.057108407797681
"daniil medvedev",0.446572580645161,0.824037684376221,-0.278846717959544,-1.37221759696348,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.061970838931961,-0.0768066481097562,-0.0978852721952623,0.508543419577122,0.523379228754917,0.544457852840424,0.273921879583604
"david goffin",0.511415525114155,-1.52060674506309,0.0314440839880884,-0.216741814024224,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.0610637492332905,0.027413502641059,0.00883214060030024,0.450351775880865,0.484002022473096,0.502583384513855,-0.850460796894726
"denis kudla",0.585585585585586,-0.103947182598987,0.0100265035409102,-1.48944877918788,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.110428712287771,0.119405039714389,0.124323210469237,0.475156873297815,0.466180545871196,0.461262375116348,-0.256259317176742
