"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"alexander shevchenko",0.486486486486487,-0.566747824064546,0.25321842494308,-0.484695974921188,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.357234731653478,-0.407706523257651,-0.456104664240051,0.578509967421432,0.586648024673485,0.591303110122681,-0.218495702219634
"alexander zverev",0.639627659574468,2.37035735154034,-1.03360105245788,-0.346676156947829,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.392807337143787,0.359295736617861,0.201753917685933,0.637689012857709,0.604127776478012,0.56397932767868,0.63911863982623
"alexandre muller",0.585492227979275,-1.20243998246809,0.893795212970505,0.689443926267848,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0661578384155124,-0.0966021642864765,-0.0932036266528864,0.566120584875811,0.568853979999846,0.55575704574585,-0.322786321515486
"alexei popyrin",0.634387351778656,0.764920322254681,0.496392466584121,-0.184240185581949,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.260601284945359,0.348522357669696,0.427881862536803,0.607823783122014,0.605966111188838,0.636158883571625,0.186410063111052
"andreas seppi",0.619718309859155,-0.694479955073553,-0.118505632974928,-0.633788899739193,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.0772823266396921,0.135487115618416,0.192926147752407,0.573025751117929,0.582314213431009,0.589508533477783,-0.200430750224515
"andrey rublev",0.647122692725299,0.36676446692022,0.136249590622216,-0.37805521423511,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.229615126650405,0.39612176358128,0.405306856091156,0.588349111042031,0.604871058586285,0.611742079257965,0.0583235470106969
"andy murray",0.572815533980582,0.143802325957711,0.505403149905584,-0.209534258338675,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0421798412596061,-0.0336868735294254,-0.00387412048905484,0.583711553534991,0.587312314798397,0.599218904972076,0.00531090020923292
"arthur cazaux",0.558139534883721,0.173409365651212,1.40391655684445,-0.240647428300226,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0377752009752074,-0.123839375757681,-0.0358680575624579,0.597973954447728,0.583015558385125,0.610734641551971,0.0117603807926982
"arthur fils",0.6113074204947,0.458724850303262,-0.707483312954999,0.345959370936257,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.13840294386074,0.179429989025755,0.144655848660399,0.596511454422196,0.594907464994514,0.587530910968781,0.133788260409425
"arthur rinderknech",0.618506493506494,0.956515728470962,0.164699202501966,0.229940246148117,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.189202531003078,0.336233741360549,0.277390029367823,0.603354344488498,0.614743379119749,0.615418493747711,0.269722974036903
"aslan karatsev",0.605633802816901,0.102805945108797,0.193974855796461,1.25727228185707,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0704539862014573,0.0574172301560255,0.0304839442708661,0.583824417748719,0.579521128346622,0.562812268733978,0.0925483483833481
"ben shelton",0.625246548323471,0.915774372985706,0.798526527784679,0.711616706179894,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.243524739957515,0.229928716741428,0.288720749306332,0.611527817129177,0.593456961617311,0.609166264533997,0.290491767235448
"benjamin bonzi",0.623306233062331,0.546639727733777,-0.255492373124977,1.078702526618,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.195257469067691,0.253378334692818,0.207252801874854,0.600648516611043,0.598458424244745,0.588557124137878,0.20867414149002
"benoit paire",0.65,-0.34886292029492,1.02519709605139,-0.405166723327279,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.181790243047935,0.187623037872882,0.215524591278603,0.573281385591412,0.570097713243199,0.553307175636292,-0.150194478318428
"bernabe zapata miralles",0.523148148148148,-1.25172108856077,0.603543126395064,0.508722127796756,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.320001144934382,-0.337407652274457,-0.414997266943729,0.555486272413204,0.572988076134336,0.551413834095001,-0.349226803247288
"borna coric",0.555555555555556,0.141666320731409,0.336559470974516,-2.37378608639018,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.11948121644044,-0.197624002595736,-0.163918199474819,0.578931790735231,0.573139643602028,0.577685058116913,-0.14149414270713
