"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"alexandre muller",0.517482517482518,-0.884582431213367,0.210821246487462,0.645830962648204,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0267069701590759,-0.0152592321022298,-0.00740277933907674,0.544189487641593,0.532741749584747,0.524885296821594,-0.196736206657617
"alexei popyrin",0.573957016434892,0.86003738959433,0.280457526356584,0.479256860590871,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0115221458540433,0.0135845640662592,0.0343212985660876,0.562434870580849,0.560372452368633,0.539635717868805,0.424999891069332
"andreas seppi",0.542857142857143,-0.925760807184244,-0.019634601812245,-0.646614649308484,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,0.0374431416524202,0.0249333668570169,0.0335865344320024,0.505414001204723,0.517923776000126,0.50927060842514,-0.408039895568634
"andrey rublev",0.590425531914894,-0.301315599485632,1.98553250674609,-0.328961776402065,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.04357407940422,0.0416376108110941,0.0483822036296764,0.546851452510674,0.5487879211038,0.542043328285217,0.0470858266769974
"andy murray",0.547325102880658,-0.0564108006107852,0.87714178870692,-0.534489415621365,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.00328732114361108,-0.00333834841559566,0.0141150637418644,0.550612424024269,0.550663451296254,0.533210039138794,0.030169442069906
"arthur cazaux",0.519480519480519,-0.445175272162529,1.58171769630038,-0.31834971174368,-0.109766251701977,3.95044149734585,-0.46654780684179,-1.5698157080643,-0.192467983241925,0.000819639997257648,-0.0277580607901721,-0.0647393534709881,0.518660879483262,0.547238580270691,0.584219872951508,0.118149249894212
"arthur fils",0.543820224719101,0.618130723756986,-0.779031621731578,0.506397142609678,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.00858527000118148,-0.0179023694045984,-0.0354304089974822,0.552405494720283,0.5617225941237,0.579250633716583,0.259458556561454
"arthur rinderknech",0.545454545454545,0.873646366413107,0.404900200644435,0.229528253384629,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0140984245564987,-0.0110153680125249,-0.0120084448294207,0.559552970011044,0.55646991346707,0.557462990283966,0.413016934583559
"aslan karatsev",0.575842696629214,0.379803647081478,-0.984985432469564,1.40295223633148,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,0.0489626814563487,0.0506597042982432,0.0576774658781759,0.526880015172865,0.52518299233097,0.518165230751038,0.0113483743959175
"ben shelton",0.5858310626703,1.42816984130654,-0.0646875489081009,0.481482322227581,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0247569889888746,0.0240418891134025,0.0233975218492243,0.561074073681425,0.561789173556897,0.562433540821075,0.605488412369466
