rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
85,Borna Coric,Croatia,CRO,1836,13,2019-01-07,0,0,2102
86,Thiago Seyboth Wild,Brazil,BRA,1835,80,2024-10-21,0,0,1849
87,Francisco Comesana,Argentina,ARG,1834,84,2024-09-25,0,0,1835
88,Hamad Medjedovic,Serbia,SRB,1834,88,2024-11-11,0,0,1834
89,Fabio Fognini,Italy,ITA,1833,14,2014-04-11,0,0,2112
90,Adrian Mannarino,France,FRA,1829,17,2024-01-29,0,0,2019
91,Yibing Wu,China,CHN,1829,77,2023-02-20,0,0,1851
92,Bu Yunchaokete,China,CHN,1829,90,2024-10-03,0,0,1829
93,Aslan Karatsev,Russian Federation,RUS,1828,26,2021-05-30,0,0,1998
94,Lucas Pouille,France,FRA,1827,20,2016-09-26,0,0,2069
95,Alexander Shevchenko,Kazakhstan,KAZ,1826,65,2024-02-19,0,0,1870
96,Arthur Cazaux,France,FRA,1825,95,2024-11-04,0,0,1825
97,Rinky Hijikata,Australia,AUS,1824,83,2024-09-25,0,0,1846
98,Mackenzie Mcdonald,United States,USA,1823,36,2023-04-02,0,0,1945
99,Corentin Moutet,France,FRA,1821,47,2023-03-06,0,0,1921
100,Alexandre Muller,France,FRA,1818,90,2024-10-13,0,0,1829
101,Thiago Monteiro,Brazil,BRA,1817,48,2024-05-20,0,0,1890
102,Gabriel Diallo,Canada,CAN,1812,89,2024-10-21,0,0,1828
103,Dominic Thiem,Austria,AUT,1812,4,2020-02-03,0,0,2250
104,Lloyd George Muirhead Harris,South Africa,RSA,1810,30,2021-09-13,0,0,1988
105,Max Purcell,Australia,AUS,1808,89,2023-08-27,0,0,1834
106,Hugo Gaston,France,FRA,1806,60,2021-12-05,0,0,1891
107,Soon Woo Kwon,"Korea, Republic of",KOR,1805,47,2023-01-16,0,0,1929
108,Filip Misolic,Austria,AUT,1801,99,2023-07-31,0,0,1827
109,Pavel Kotov,Russian Federation,RUS,1800,43,2024-07-01,0,0,1899
110,Gijs Brouwer,Netherlands,NED,1797,80,2023-04-10,0,-1,1845
111,Sebastian Ofner,Austria,AUT,1797,59,2024-01-15,0,0,1888
112,Yosuke Watanuki,Japan,JPN,1796,104,2023-08-07,0,0,1820
113,Pierre Hugues Herbert,France,FRA,1795,32,2019-06-24,0,0,1989
114,Alex Bolt,Australia,AUS,1795,81,2021-07-31,0,0,1846
115,Christopher Eubanks,United States,USA,1795,44,2023-07-24,0,0,1932
116,Mariano Navone,Argentina,ARG,1794,49,2024-05-06,0,0,1895
117,Jozef Kovalik,Slovakia,SVK,1792,112,2024-07-15,0,0,1806
118,Daniel Evans,United Kingdom,GBR,1791,25,2021-02-08,0,0,2002
119,Mattia Bellucci,Italy,ITA,1787,119,2024-10-13,0,0,1787
120,Andrea Vavassori,Italy,ITA,1786,118,2024-04-08,0,0,1796
121,Timofey Skatov,Kazakhstan,KAZ,1784,112,2024-08-05,0,0,1796
122,Liam Broady,United Kingdom,GBR,1783,91,2024-02-12,0,-1,1826
123,Luciano Darderi,Italy,ITA,1781,51,2024-05-27,0,0,1889
124,Facundo Diaz Acosta,Argentina,ARG,1780,97,2024-02-26,0,0,1826
125,Gregoire Barrere,France,FRA,1778,64,2023-07-17,0,0,1874
126,Jason Kubler,Australia,AUS,1777,66,2023-03-19,0,0,1880
127,Zsombor Piros,Hungary,HUN,1777,124,2024-10-02,0,0,1778
