"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"federico coria",0.50530035335689,-0.0778962207609723,-0.164761848616094,0.131633000154854,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.263355409696899,-0.147433807432559,-0.197311498342151,0.545802167780968,0.553233302216393,0.555704832077026,0.011372533499322
"federico delbonis",0.46875,0.123726198418296,-2.0252748005489,-1.33889955120323,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.621982604611172,-0.565546260937252,-0.658669768523137,0.535463218110661,0.531444540313688,0.489985704421997,-0.175765223347713
"feliciano lopez",0.595238095238095,2.23141916594452,-0.378202058302542,-0.725037521067555,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.67429590864981,0.486764032113345,0.409025702185194,0.577695192861588,0.562857057899118,0.563935816287994,0.624926198097922
"filip krajinovic",0.480769230769231,0.0869089051270034,-0.536331178993054,-0.944703451472963,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.411120766250028,-0.343033675938864,-0.407145425820879,0.549727117342308,0.548087043281729,0.540560603141785,-0.0573464773795721
"flavio cobolli",0.553191489361702,-1.03823827282762,0.936976770579212,0.465457698308129,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.0905077516775,-0.00485511568892254,-0.0018318215520148,0.524622104410121,0.536606509248189,0.523120939731598,-0.38279297940302
"frances tiafoe",0.581799053129932,0.0229806001525902,2.17626760571726,0.292316572316529,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.42580203369899,0.296354370270784,0.294905414461765,0.560258912345364,0.550757289470635,0.555881381034851,0.20526190971351
"francisco cerundolo",0.556701030927835,-0.772556964805617,-0.436704406519846,0.352815690594611,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.0921581919585173,0.0140324537922475,0.0571515719623025,0.521396270416177,0.536328810336403,0.533692359924316,-0.399299196717387
"gabriel diallo",0.546938775510204,1.4732764135932,-0.182646866665385,0.475796998047842,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.229575130419408,0.180997676735767,0.0806350869180253,0.567444773444211,0.561569997277811,0.558712005615234,0.512853742512183
"gael monfils",0.587479935794542,0.610672948226001,-0.489088927073532,-0.0803677834368319,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.363064111422462,0.369743863343442,0.367867490484915,0.548015230032001,0.555080638328762,0.566460013389587,0.181571183104923
"gianluca mager",0.580882352941177,1.03354794084566,1.40197425804568,0.0766131261401393,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.524323934465733,0.42879230903223,0.392381016048138,0.572568777161561,0.566143039139802,0.585876941680908,0.444514444068871
"grigor dimitrov",0.596846846846847,0.614100311283199,1.23694268313812,0.247161074580614,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.51807976720718,0.580883612715272,0.432781361493255,0.558042543930103,0.572256434164993,0.567829310894012,0.321427432661752
"guido pella",0.543726235741445,0.0113708343223998,-0.210813950038126,-1.11817883922228,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.0172602838668297,-0.0295566156051161,-0.051533007659659,0.541364794385506,0.540280338015491,0.526349544525146,-0.0749764601491965
"hamad medjedovic",0.578512396694215,1.25483537798499,0.0820749663618941,-0.322816677566431,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.453464571707958,0.350972318438941,0.336306318969494,0.566333067427057,0.559077524350267,0.574024438858032,0.392540619306958
"henri laaksonen",0.549450549450549,-0.545468407320195,2.7581815317977,1.13385999788077,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.159336102041411,0.0768778279818798,0.0829385582878761,0.557062870274758,0.548257817287897,0.554696381092072,0.143723488265917
"holger rune",0.523545706371191,0.155608417909551,-1.21926827359756,0.0219565040957043,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.283572123445816,-0.219251475274402,-0.160008219755669,0.527671396983366,0.532838058039709,0.532505035400391,-0.195845155412452
"hubert hurkacz",0.56312625250501,0.341701945695055,0.806696661552753,0.133339772256689,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.26410009504739,0.32517988918395,0.237055315062907,0.557491942379905,0.566650324900166,0.573915898799896,0.201062254723417
"hugo dellien",0.493333333333333,-0.578813649827088,-0.713388289001791,0.28674672842619,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.408147122547178,-0.2895409742534,-0.385193526013288,0.539217052949575,0.545518384798804,0.523500680923462,-0.16228800365523
"hugo gaston",0.449275362318841,-1.79938559920943,0.531308088973049,0.776766478550034,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.762074291457441,-0.837574451600157,-0.806863952567985,0.535915521606664,0.514344974920827,0.483298927545547,-0.612747793577352
"ilya ivashka",0.563342318059299,0.207720831259788,1.36998474589574,0.636333550602028,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,0.289818095151548,-0.0625584727740879,0.0809031562604542,0.560311775460424,0.523281217835948,0.528199791908264,0.0391412301654376
"jack draper",0.591143151390319,-0.134639696105702,1.39079148553497,-0.0428111771115302,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.431313333632519,0.392405831615679,0.354889703324766,0.552828188119611,0.555119330901423,0.555862724781036,0.0776477261263395
"jakub mensik",0.517006802721088,-0.0474843849805401,2.87821018509992,0.851040792214037,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.128602821534536,-0.254710611171291,-0.193831202146584,0.551438843386255,0.53332556194719,0.534884095191956,0.0764289897137419
"james duckworth",0.520661157024793,-0.376809148072741,0.606764750800965,-0.769947277326826,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.270876921923729,-0.241521864424875,-0.181514257685793,0.531648306477763,0.532314262641261,0.531643509864807,-0.311786960913512
"jannik sinner",0.594379963347587,0.332769504560209,0.979346535002493,0.964758670388939,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.541251179150487,0.383485430699481,0.486542733197289,0.562883230843169,0.551926989057281,0.588030457496643,0.282898305240521
"jason kubler",0.559055118110236,-0.326468963173025,0.424417610315854,-0.0334423126099867,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.155725584334088,0.0927168565228202,0.0778913622017179,0.548340668894813,0.543501459694543,0.53532075881958,-0.0414072259174235
"jaume munar",0.49171270718232,-0.557429904498787,1.12892675554291,0.916998322792917,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,-0.305709201248455,-0.438225162854615,-0.338688840087641,0.552593040322054,0.530044587268366,0.540017902851105,-0.184269209397997
"jenson brooksby",0.521594684385382,-0.938054855754567,-0.480129659576122,0.379580221548377,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.242683649889625,-0.219162582731762,-0.196924272306981,0.534137491271907,0.534172808739998,0.525430858135223,-0.248581160005416
"jeremy chardy",0.533980582524272,2.1910722735356,-1.47561094393258,0.218661375180147,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.188710981598974,0.118088248561905,0.0533664014463658,0.573865828718704,0.563356551417181,0.574963986873627,0.626318432141093
"jiri lehecka",0.497959183673469,0.915263209040207,-0.202040640210601,1.17997055395675,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.163713331321269,-0.137473459211278,-0.185543028993958,0.563794910670107,0.559328634500368,0.572809994220734,0.404074033999881
"jiri vesely",0.573770491803279,2.46773623344647,-1.52667792568354,0.536770705949512,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.524202615403376,0.279549768769859,0.348427215283052,0.578700551415131,0.554335823819615,0.586384654045105,0.735431624832186
"joao sousa",0.48951048951049,-1.55812100476196,0.110076390162571,1.32310549492279,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,-0.623785822326816,-0.601713283151636,-0.4908222066812,0.517311529535556,0.513315479691432,0.499977707862854,-0.351697170931735
"john isner",0.608040201005025,2.09305963691293,-1.88061316556305,-0.607005806609022,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.499935518267292,0.446317403734586,0.508267378694035,0.546248278865477,0.54965507728675,0.568860471248627,0.49765292771603
"john millman",0.592592592592593,-2.04287496132834,1.6257065394672,-0.4438687201642,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,0.0819458487327142,0.0470330535118864,0.208472020380276,0.510732924848173,0.515635321975138,0.510671377182007,-0.725234245852411
"jordan thompson",0.554521276595745,-0.3125242913744,0.800699000049912,0.0957968921656292,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.113850041602789,0.130313432834994,0.0947754462360852,0.547363297293948,0.550771170991224,0.548675179481506,-0.00178308088198803
"juncheng shang",0.555555555555556,-1.69677426738266,0.982060413155605,-0.107884958690769,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.0432768571699391,0.00156009462506537,0.149075242690051,0.538219157339157,0.535716313207672,0.562503457069397,-0.429621184211294
"kamil majchrzak",0.485148514851485,0.287678016473716,-0.833726827813991,-0.92018192944502,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.372535250948454,-0.25700515893187,-0.371291573998947,0.550453435546956,0.554703153591702,0.542798221111298,-0.0129879738428553
"karen khachanov",0.578300921187308,0.704781251823638,-0.709396360018357,0.519975845861055,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,0.345271204904701,0.349965216380903,0.255866704002772,0.553867514826831,0.559108862039743,0.551076352596283,0.249320401517649
"kei nishikori",0.518207282913165,-1.22521061767708,-1.28333969081132,-0.205103178443229,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,-0.34662598174013,-0.141781188512133,-0.183326716206908,0.524913488960302,0.545098965884419,0.535693645477295,-0.438835616366228
