"ServerName","serve_score_rf","serve_score_rf_weighted","ace_pct","avg_speed","sd_speed","location_entropy","rescaled_ace_pct","rescaled_avg_speed","rescaled_sd_speed","rescaled_location_entropy","n_serves"
"juncheng shang",0.149631130315156,0.504098927165866,0.129032258064516,117.634408602151,7.44075870698529,2.57893575080648,0.444872412132884,0.65487116991363,0.412567259058221,0.475774883969912,93
"frances tiafoe",0.487318940184173,0.50368305735039,0.108658743633277,120.067911714771,7.20252265087796,2.85077797862674,0.37462939969085,0.768706121169024,0.380757289434458,0.784901392888868,589
"christopher eubanks",0.146400597606456,0.501695922812064,0.124113475177305,119.645390070922,5.48908298841518,2.53129107092657,0.427913623372499,0.748941309493855,0.151973852931716,0.421595540024954,282
"benoit paire",-0.208534319611545,0.500632557436457,0.14,113.86,9.03284257019678,2.81218331284872,0.482686567164179,0.478311042656956,0.625146917044279,0.741013309751389,50
"steve johnson",-0.421991699621264,0.498382354373731,0.132075471698113,117.207547169811,8.44520458049336,2.23451938700277,0.455364686003943,0.634903350644715,0.546683787207146,0.0841203974285457,53
"dominic thiem",0.444345052159453,0.490720070663833,0.117021276595745,119.404255319149,6.51436650372574,2.49246039992429,0.403461416322642,0.737661454304143,0.288872683489431,0.377439082574739,94
"holger rune",0.866679575043886,0.486954457300036,0.11018711018711,118.035343035343,8.62390079570521,2.73609524014116,0.37989884258541,0.67362617023493,0.570543824477112,0.654489444511394,481
"jiri lehecka",0.73830128274007,0.486585082278139,0.118518518518519,116.585185185185,8.33208614216007,2.82851811454993,0.408623548922056,0.605790362945742,0.531579885026829,0.759588496779061,135
"alex de minaur",0.44445149105149,0.482005231954673,0.103305785123967,118.572314049587,7.71335173891134,2.96924277353976,0.356173677069199,0.698744720079799,0.448964671804641,0.919614122308811,484
"denis kudla",-0.569854436298128,0.480645241475491,0.116279069767442,118.558139534884,7.9081101396014,2.28149424738587,0.400902464422076,0.698081661470207,0.474969378695577,0.137538053374127,43
"tennys sandgren",-0.110135659599521,0.474456166757215,0.109090909090909,117.309090909091,9.82791324686369,2.48769611628321,0.376119402985075,0.639653386324241,0.731307061259084,0.372021357811095,55
"taro daniel",-0.457602015676506,0.474012015393295,0.129032258064516,115.887096774194,8.78729492442594,2.16054489571093,0.444872412132884,0.573135027587809,0.592360682748836,0,62
"jannik sinner",0.59365795449691,0.473409468123886,0.104651162790698,118.987315010571,6.34375481589219,2.85234684352218,0.360812217979868,0.718157727574864,0.266092115778055,0.78668543406593,946
"jordan thompson",0.766230046851245,0.47159271598002,0.116197183098592,115.644366197183,9.24902458536143,2.70427990820222,0.400620138742905,0.561780522529287,0.654012167115803,0.618310508768992,284
"dominic stricker",0.773764533487387,0.46979256013871,0.125,115.4375,6.82581535929217,2.78259025975059,0.430970149253731,0.552103689427819,0.330458238576278,0.707361447545026,48
"tallon griekspoor",-0.357377574697954,0.462237231029801,0.104166666666667,118.395833333333,7.17780142754962,2.63673782244401,0.359141791044776,0.690489265780997,0.377456439949346,0.541504747784178,48
"brandon nakashima",0.823710849230114,0.461385135921752,0.125541125541126,115.502164502165,7.01171346600409,2.50838401338407,0.432835820895522,0.555128579929777,0.355279893300773,0.395546685200232,231
"max purcell",0.583152555610444,0.460789704431756,0.113636363636364,116.477272727273,7.45369780670356,2.68091245071614,0.391791044776119,0.600742409925831,0.414294925204658,0.591738108252315,44
"denis shapovalov",0.489456637409011,0.460403344944838,0.0980036297640653,117.50998185118,8.9458670091347,2.81209118901206,0.337893111574613,0.649050707610467,0.61353368770947,0.740908550751127,551
"daniil medvedev",0.698163394125714,0.451961343457563,0.106432748538012,118.143859649123,6.74088032242542,2.45688481820471,0.366954700183294,0.678702384592724,0.31911746595407,0.336984163308094,855
"roman safiullin",-0.065145191763608,0.449794405586291,0.0866141732283465,120.204724409449,6.06360281434344,2.86271710808862,0.298624985309672,0.775105975908894,0.228685407469856,0.798478023126475,127
"andrey rublev",0.63636095672064,0.449778421873496,0.0901771336553945,118.821256038647,7.90601643301968,2.7501233924157,0.310909222005912,0.710389783956301,0.474689820916399,0.670441615643839,621
"ugo humbert",0.447015583507817,0.447105820115093,0.110795454545455,114.946022727273,8.16321651031956,2.83280441949323,0.381996268656716,0.529113255968377,0.509031921687464,0.764462686098022,352
