"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"benoit paire",0.493827160493827,-0.732982266649417,1.02128031095404,-0.429432055146583,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,-0.32997757086027,-0.225832313375053,-0.32653104992896,0.544319883176447,0.521492736000264,0.532058954238892,0.0648863982773597
"borna coric",0.476744186046512,0.926332105393986,-1.45956378022465,-1.17803835127462,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.386684414095982,-0.512167981684929,-0.697266262894467,0.535914113371383,0.539487297329048,0.558383405208588,-0.251841080527218
"botic van de zandschulp",0.552486187845304,0.79704247492387,-0.0553040119584941,0.711562935682316,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.00480034993041814,-0.0840596646466737,-0.245619436551934,0.553220730914956,0.562783912579966,0.581244468688965,0.221269635247858
"brandon nakashima",0.582633053221289,0.0796114358951631,-1.11223413175179,-1.2332601432225,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,0.351918970400378,0.534069040144933,0.696227127500093,0.528782887184689,0.517206953940087,0.501115500926971,-0.372021533105389
"cameron norrie",0.565696302124312,-0.946082777397306,0.187588674980244,0.760098899746894,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.262976356683121,0.200677545045827,0.148534749491803,0.525456014836091,0.54111231017055,0.548305153846741,-0.0839076456288444
"carlos alcaraz",0.590546347452425,0.761863958446861,0.0675482548471771,1.38856561072758,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.246636404092598,0.26751814825586,0.14835585014206,0.55280637766351,0.557774050967009,0.573176145553589,0.294847573847695
"casper ruud",0.557333333333333,-0.111747715973617,-0.986066511302064,0.60552904531142,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.14511456235827,0.252006992636616,0.288122348120927,0.535128098791897,0.526461230139847,0.523598611354828,-0.220752354020925
"christopher eubanks",0.571428571428571,1.52913611497068,-1.73890259611078,-1.13882056457205,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.187948851188474,0.486841116650638,0.778971309667128,0.542668891802967,0.511788126396386,0.480222940444946,-0.19272381476323
"cristian garin",0.543624161073825,-0.407518706287029,0.0332652879834029,1.23876364188067,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,0.100234719747485,0.018677194378379,-0.256157313942918,0.528286379496171,0.541336112372552,0.57361626625061,0.0493716788333738
"daniel evans",0.564453125,-0.397133956459642,-0.953371969467648,0.927370575810826,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.260335174646125,0.21256296421373,0.328849845221697,0.52461698782356,0.538413110404921,0.525949835777283,-0.249678593737915
"daniil medvedev",0.58573717948718,0.412076898951631,0.747065055516643,-0.835946408373718,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.275222542903113,0.340406597787634,0.358364451757445,0.543622997306304,0.544035687378994,0.54377818107605,0.233915566756242
"david goffin",0.580693815987934,-1.36159263348516,0.0538455442905994,0.454966356719936,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.360999179708795,0.376456881912854,0.377889126050576,0.525454208574107,0.53457598574554,0.536448776721954,-0.229264742608454
"denis kudla",0.511904761904762,-0.416695030939268,1.08428050430643,-1.49548955117322,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.143489066548001,-0.151992881799335,-0.0308290624051642,0.533861265270453,0.530524641783851,0.515514373779297,0.0964126323363056
"denis shapovalov",0.590069284064665,0.397905639896678,0.0446621761812324,0.616336110544414,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.249235423176254,0.246926400209321,0.154266289742347,0.551931615882203,0.559819578575538,0.572007060050964,0.155109133293688
"diego schwartzman",0.549356223175966,-2.62384233292884,-0.788718825992766,1.74116760122726,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.210405283429533,0.170656914528264,0.39370522276844,0.517160290587371,0.528449906962766,0.503259360790253,-0.622399248687768
"dominic stricker",0.516129032258065,-1.11852476120634,0.790223485458391,-0.210051508514061,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,-0.0390046586773922,-0.00201270216485428,-0.0463993112431932,0.52209747250324,0.516375598229433,0.521561682224274,-0.0120194664018628
"dominic thiem",0.567741935483871,0.482286554428758,-0.150843215256792,-0.959171890051748,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.195972180298127,0.241958681510784,0.311320474268802,0.537754536863097,0.538100800108981,0.53129106760025,0.00778359985918097
"dominik koepfer",0.50561797752809,-0.368878904405189,-3.19601604652131,2.03239029228724,5.47795582311504,-0.223644375566856,-0.353718980430959,-1.56602823871233,-0.32456914940173,-0.144396413680097,-0.137374074283558,-0.306181839038954,0.527713321927729,0.522446981172076,0.541467189788818,-0.849133265114227
"dusan lajovic",0.475903614457831,-1.03752729075066,-0.316624584369671,-0.0179739703983979,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.310309216632379,-0.414426747190713,-0.466947692559911,0.523386712113322,0.526672941021167,0.530576050281525,-0.290420542089341
"elias ymer",0.483870967741935,-0.763474999782937,0.533330355975691,-0.175351278706216,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,-0.278409662902181,-0.354839149399227,-0.330322215204664,0.526472838724961,0.527340518815615,0.522546648979187,-0.000231417973470786
"emil ruusuvuori",0.560386473429952,0.781897544030665,0.564370734831564,1.510769821654,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,-0.0651329743982327,0.0372647735402712,-0.251147561334121,0.570353033294036,0.555821354334721,0.589792013168335,0.214557905857418
"fabian marozsan",0.5,-0.453535425438927,-0.315257167924046,1.2758595240806,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.294837279500535,-0.343161801646799,-0.601358564630957,0.545115602710532,0.542039018210018,0.570409893989563,-0.0713536938808924
"fabio fognini",0.528169014084507,-1.14847461095287,-0.848342389560366,0.878948211508934,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,0.0820048211546357,0.0170321134259004,0.0428734178111931,0.515620746993492,0.526082495937585,0.523149192333221,-0.362660494806686
"facundo diaz acosta",0.49,-0.694934958882068,-1.70308739026813,1.44228097586941,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,-0.336084013868726,-0.297669682961331,-0.0981493220740001,0.541427122352874,0.526466008636537,0.501491785049438,-0.691343209009492
"federico delbonis",0.520833333333333,-0.313793542436668,-0.909237615947332,0.362559892446388,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.074194802049274,-0.118345322420282,-0.157641866602209,0.532186521838234,0.535331220745107,0.53929078578949,-0.261651496344087
"feliciano lopez",0.524390243902439,0.978923232907594,-0.633271081561657,1.29745394479576,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.184351988073197,-0.113273160825815,0.193062503959978,0.552599536387083,0.538266766428579,0.501785576343536,0.153301870133299
"frances tiafoe",0.563146997929607,0.253565665045158,1.93764303885439,0.962395802750866,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0433274713230807,0.232398459995106,0.463620677126461,0.556517086725788,0.534677036981651,0.508864104747772,0.63891156400388
"francisco cerundolo",0.512,-0.693020777559613,-0.979710978654374,1.03336730261284,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,-0.14216259835309,-0.153312120680026,-0.244812311004648,0.533753528992196,0.530781493167814,0.540663778781891,-0.288303398983171
"gael monfils",0.578231292517007,-0.376002400785002,0.432109184250747,-0.607122795616098,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.290324488606526,0.276444976959853,0.12003748471011,0.533806230980354,0.544365415357274,0.564176738262177,0.00120562583108322
"gijs brouwer",0.54639175257732,-0.466910575572931,0.275541908094759,0.143511760534975,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0773129155532915,0.134209983045927,0.203043418020165,0.534561434551037,0.529950365761659,0.522618472576141,-0.00396300205377633
"grigor dimitrov",0.635542168674699,0.694677079928746,1.06697570283451,0.989370729486183,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.512454508782538,0.683486741275814,0.597401155159076,0.557127071151687,0.551811661884863,0.565595626831055,0.509811500582298
"guido pella",0.504672897196262,0.0645656770515407,-0.7521987445785,0.977029671239942,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,-0.309084426438026,-0.259728639800381,-0.127012546973947,0.551968579108716,0.536490940363751,0.519544124603271,-0.317551366882984
"holger rune",0.585464333781965,0.696376013239181,-0.0607268514471823,0.360970890340032,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.234320424989554,0.209769506040557,0.11094355826964,0.549608938498504,0.559766531631416,0.572474539279938,0.172874132598835
"hubert hurkacz",0.570117955439056,0.739998581098951,1.66877415650247,0.417856405082246,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0755460110602789,0.0482702923490899,0.551894546309543,0.558558006754362,0.564204605849072,0.505499541759491,0.633409658969141
"hugo dellien",0.471910112359551,-0.191440748110052,-0.601931641322708,-0.629491093896434,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.356748714216508,-0.540950898909522,-0.715791574899527,0.526499319278535,0.538179273381701,0.55571836233139,-0.228399809110773
"ilya ivashka",0.480225988700565,-0.19605821083165,0.353244396401679,0.229489246073391,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.389237999101054,-0.550485623407074,-0.555314382942904,0.539786662157579,0.547663200638804,0.545244812965393,0.0801123819224508
"jack draper",0.534562211981567,-0.0346306137553848,1.56611119555266,-0.234822326962609,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0745743265960414,0.0442027303080132,0.236625039301217,0.545973474820554,0.529147158862503,0.50685703754425,0.394232629564008
