server_name,random_intercept,group,model,label
Alexandre Muller,-0.0436156945690038,m_first,speed_ratio_z,Average
Alexei Popyrin,0.168610935200356,m_first,speed_ratio_z,Average
Andrey Rublev,0.15502351645971,m_first,speed_ratio_z,Average
Arthur Cazaux,0.0391992185325644,m_first,speed_ratio_z,Average
Arthur Fils,0.103274158206238,m_first,speed_ratio_z,Average
Arthur Rinderknech,0.0839077348321825,m_first,speed_ratio_z,Average
Ben Shelton,0.13748701060392,m_first,speed_ratio_z,Average
Borna Coric,-0.119842051441759,m_first,speed_ratio_z,Average
Botic van De Zandschulp,0.117037902385686,m_first,speed_ratio_z,Average
Botic Van De Zandschulp,-0.0554040770117227,m_first,speed_ratio_z,Average
Brandon Nakashima,-0.079170721452148,m_first,speed_ratio_z,Average
Carlos Alcaraz,0.104567967917415,m_first,speed_ratio_z,Average
Casper Ruud,-0.0446298278785126,m_first,speed_ratio_z,Average
Christopher Eubanks,0.0798702125467373,m_first,speed_ratio_z,Average
Constant Lestienne,-0.133468944987139,m_first,speed_ratio_z,Average
Corentin Moutet,-0.104707346794454,m_first,speed_ratio_z,Average
Daniel Altmaier,-0.0365361973355208,m_first,speed_ratio_z,Average
Daniel Evans,0.0317016322264677,m_first,speed_ratio_z,Average
Daniil Medvedev,0.0290594684886786,m_first,speed_ratio_z,Average
David Goffin,-0.0027637593042598,m_first,speed_ratio_z,Average
Denis Shapovalov,0.217037249714913,m_first,speed_ratio_z,Over-performer
Dominik Koepfer,-0.166766180524214,m_first,speed_ratio_z,Average
Dusan Lajovic,-0.0107675878329473,m_first,speed_ratio_z,Average
Fabian Marozsan,-0.000308981292935474,m_first,speed_ratio_z,Average
Fabio Fognini,0.00744171771872008,m_first,speed_ratio_z,Average
Facundo Diaz Acosta,0.00737338891280268,m_first,speed_ratio_z,Average
Federico Coria,-0.115404310297299,m_first,speed_ratio_z,Average
Flavio Cobolli,-0.0166014769983999,m_first,speed_ratio_z,Average
Frances Tiafoe,0.189269514157965,m_first,speed_ratio_z,Over-performer
Francisco Cerundolo,0.0639575494605531,m_first,speed_ratio_z,Average
Gabriel Diallo,-0.032953066205942,m_first,speed_ratio_z,Average
Gael Monfils,0.223867289137174,m_first,speed_ratio_z,Over-performer
