"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"daniel evans",0.461038961038961,-0.421394670976546,-0.361352908914469,0.117939913272736,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.281690816926849,0.378331812440932,0.320646092976393,0.40766641547509,0.390561989323795,0.392368674278259,-0.108271958148406
"daniil medvedev",0.459649122807018,0.490976874524968,-0.706328627395868,-1.26017936284958,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.0498758981587444,0.00617412655874979,0.0149188499659425,0.469099213072856,0.458498984942481,0.456454068422318,0.038991047685847
"david goffin",0.45083932853717,-1.19357925891452,0.417784274887967,0.208497760583881,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,0.373897767802615,0.353580175712247,0.267279694209733,0.379996140015846,0.384973178181109,0.393598109483719,-0.427286190403689
"denis kudla",0.418604651162791,0.588046931923424,0.146827087799619,-2.21417214581153,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.427388271893611,-0.157664955983127,-0.216547826057454,0.499582796861553,0.447975029962302,0.464981019496918,-0.0189190568163151
"denis shapovalov",0.491833030852995,0.342452757509412,0.905347981626499,0.671876121263697,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.166083291408729,0.201442037981767,0.121600855446104,0.460364883844099,0.454307704284526,0.465790718793869,0.202662721890401
"diego schwartzman",0.294871794871795,-2.85386635039623,0.125423747387282,1.78297692012691,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.160175901702297,-0.245256961252583,-0.091451148857642,0.264522933289772,0.340559118413599,0.314457178115845,-0.708645795137937
"dominic stricker",0.583333333333333,-0.143151152228477,-0.644247612109152,0.511413255587871,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.913972305719076,0.918486173852073,0.925328989833812,0.410161097676908,0.412234520157398,0.385162800550461,0.0174962411489637
"dominic thiem",0.553191489361702,0.78630060188741,-0.871892902871578,-1.06667495693028,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.391362060779416,0.229431508202659,0.323259438875688,0.479039304889377,0.510452186499902,0.483961522579193,0.151008622180534
"dominik koepfer",0.311475409836066,-1.23667939027632,-1.03110555153578,1.68280658847475,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,-1.8975227515349,2.21647510808534,-0.137881469345853,-0.298862916537061,-0.220946578722218,0.337600098902469,0.36714863799946,0.358793824911118,-0.30499841410204
"dusan lajovic",0.311926605504587,-1.03027908766715,-0.390508632354371,0.50610846462464,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,-0.327017223451005,-0.50936767635316,-0.286550018835049,0.373887239682242,0.406813395720164,0.373294800519943,-0.262862445202911
"elias ymer",0.387755102040816,0.160794775340573,-1.5835935016391,0.395467743975399,-0.0894427190999916,-0.0894427190999916,5.47795582311504,-1.8975227515349,-0.447557473748001,0.276840242787239,0.254528669334925,0.499171313137085,0.335301604858081,0.34034061232693,0.280851453542709,0.0933639891173017
"emil ruusuvuori",0.448529411764706,1.10162248427604,-1.38653222055753,1.78676630082388,-0.0894427190999916,-0.0894427190999916,-0.181089448698018,0.522786880524922,-0.447557473748001,0.0110083929200447,-0.00419242859816864,-0.0428895613477587,0.446443628638653,0.449310392010128,0.457714736461639,0.535847113113419
