"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"andrey rublev",0.500857632933105,-1.26437154271871,0.282835483388537,-0.128155339819088,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.285098708612354,0.0934979924524221,0.104261123383285,0.482836452123081,0.472707916533452,0.479655534029007,-0.278490668113651
"andy murray",0.502824858757062,-0.592789384485949,-0.593748479160575,-0.323760393214996,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0190760894486366,-0.127809749631807,-0.0500667033336609,0.46812874040699,0.453706949783188,0.433665096759796,-0.141791410246332
"arthur cazaux",0.470588235294118,-0.632776628717655,-0.0163218473459959,-0.600243150796506,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.16750842474846,-0.276069671000908,-0.111303852207991,0.467277005923986,0.452273863001742,0.449696660041809,-0.122819935186713
"arthur fils",0.425925925925926,0.668653270829578,-0.341875570091952,0.701107427961192,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.256640239451882,-0.157739738133211,-0.23610645314388,0.471587172905017,0.477114903306023,0.460527807474136,0.232774677831282
"arthur rinderknech",0.425133689839572,0.657845208914481,0.386812601738983,0.588401786335816,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.125733680930362,-0.351426084875946,-0.359112695143417,0.477906511296313,0.461331763228003,0.426321864128113,0.289499063210962
"aslan karatsev",0.531468531468531,0.985757931001816,-0.374723428401765,1.21241917501338,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.421838620329256,0.101890380982069,0.183490859085353,0.483447004670134,0.463098161941248,0.47043564915657,0.230027243639579
"ben shelton",0.497797356828194,1.51402694810385,1.30623346254938,1.24299100164315,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.125649127065904,0.105734251001694,0.169935711453902,0.475906222400592,0.474752121030155,0.501535058021545,0.612090911083478
"benjamin bonzi",0.502092050209205,0.828937991485992,-0.349367527228029,0.149327861346814,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.00104281267071147,0.182418874321242,0.0188466131403891,0.469118109259978,0.479660790423584,0.45405039191246,0.203718278828654
"benoit paire",0.380952380952381,-1.12979591766172,-0.772173244601698,1.29196982596089,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.276159894815186,-0.338282172265307,-0.431743579591297,0.479236803832213,0.477294619406537,0.451510548591614,-0.274108948249944
"bernabe zapata miralles",0.541666666666667,-1.49497029027564,1.12421180781535,-0.697214444764192,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.294551201974414,0.14113253728734,0.205641681749645,0.475505971086968,0.462916756003536,0.466155201196671,-0.186825428468523
"borna coric",0.446153846153846,0.0979932123155802,-0.124134186152932,-0.297229222212096,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0864118315588907,0.102797343874398,-0.160492231048015,0.475754127080713,0.491894595805924,0.461058586835861,-0.0761680592715966
"borna gojo",0.540540540540541,0.19529653826464,-0.258058250285252,1.06752960158953,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.305357062743473,0.449377701829196,0.331797959120745,0.476229724471779,0.4888386477675,0.503249943256378,0.0750848616054721
"botic van de zandschulp",0.446575342465753,0.345388162792544,0.395902850611979,0.366146602555412,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.166771886964738,0.0714235089096683,-0.140508214070771,0.471887207408744,0.489152901250363,0.466311812400818,0.207040498964529
"brandon nakashima",0.473282442748092,0.587962304204276,0.287200433471934,1.28255301150713,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0497347450457696,-0.04803243837407,0.0507317839829287,0.472313198034304,0.470263193560933,0.493042260408401,0.340593930452175
"cameron norrie",0.435897435897436,-0.858975950158541,-1.47008686511481,0.177918044152383,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.235407446120692,-0.358002187151077,-0.156540380007421,0.47068766859198,0.457163207165279,0.472832798957825,-0.224185838169742
"carlos alcaraz",0.575438596491228,0.27945464718051,-0.404296617669698,0.0740509435822741,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.315138592165318,0.442850689213856,0.30725282090381,0.47004104489801,0.47654931879926,0.460026890039444,0.0855072969050868
"carlos taberner",0.638297872340426,0.0693913123767575,-0.872394603683313,0.748264500499239,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,0.423419205312119,0.660873832979298,0.697745687852567,0.46316586921882,0.473454197083001,0.505963146686554,-0.113103308587821
"casper ruud",0.508860759493671,0.0785124595156948,-0.539635342301669,0.93393808726455,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.136189631872589,0.288619022941198,0.221935993657307,0.474294839234822,0.486182388050088,0.504856467247009,0.0111754952767143
"christopher eubanks",0.493975903614458,0.924933117844915,1.80323220130508,0.833105394695797,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.312748115084727,0.100642594551816,0.0359614404709733,0.485450573417349,0.47561669641141,0.467350870370865,0.504239500722835
"constant lestienne",0.409090909090909,-0.929070031586458,-0.565411216401343,-0.655182549537033,2.10699570343865,-0.871083080434134,-0.717883570110689,-0.210509195725897,-0.384212187897375,-0.290243945651186,-0.29655558031946,0.468783717679626,0.471802449017788,0.460792869329453,-0.423599378061202
"corentin moutet",0.492957746478873,-1.36686209915366,-0.377793020952388,0.110155750116198,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.141780569624376,0.0113577622284856,0.016787586878854,0.477588499366096,0.468560859511103,0.462947845458984,-0.336806898465033
"cristian garin",0.531914893617021,-0.546042672513728,1.01172064665994,0.441682659286387,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.595036864034113,0.167343834945548,0.292277798245737,0.491523142043328,0.468371703602577,0.50095146894455,-0.00976556868191216
"daniel altmaier",0.429530201342282,-0.489478736169394,0.0931304037512038,0.270635004671208,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,-0.0492213013364354,-0.00514774886418934,-0.115240315476458,0.480674087511251,0.488546077509086,0.491204679012299,-0.106510247791037
"daniel evans",0.501030927835052,0.342829407324522,-0.0577795660439162,0.32323816246793,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.0720165584188995,-0.00463660494401279,0.0136881445360781,0.472762893451497,0.464517638990548,0.453683137893677,0.157879238911007
"daniil medvedev",0.525451559934319,0.0781776121975349,0.709655545952772,0.0281927367584843,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.364097619261984,0.320833998957365,0.222538619751534,0.48187271306376,0.483266576343696,0.487802475690842,0.0358275936974879
"david goffin",0.475409836065574,-1.44691359438553,-0.180326134775331,1.26552189827641,-0.471715455993728,-0.871083080434134,1.38448974235633,-0.210509195725897,0.0837073353639973,-0.0415706160653647,-0.0660063196354173,0.478195695723011,0.470082464212189,0.457589954137802,-0.209539694451612
"denis kudla",0.487179487179487,0.391573633526692,-0.817963378680915,0.756296940241355,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,-0.0700762479489031,0.43045410041807,0.143912184994475,0.468706707667296,0.505234595351156,0.505148470401764,0.139533201007429
"denis shapovalov",0.492146596858639,0.844523972011405,0.304796863326235,1.09919862814903,-0.471715455993728,-0.871083080434134,-0.717883570110689,4.7214205327094,0.563463244375682,0.190620638306035,0.103295304944459,0.497612958999677,0.483688578081638,0.488424837589264,0.592258861258943
"diego schwartzman",0.47027027027027,-1.13805135482617,-0.421320692478687,0.384003593598827,-0.471715455993728,1.14099614761091,-0.717883570110689,-0.210509195725897,0.00833725944306772,-0.256874763215068,0.0264500719955492,0.475623529438774,0.45397149507529,0.489254981279373,-0.153501969180355
