,,Players,Pts
,81,Y. Nishioka,823
,82,S. Wawrinka,822
,83,J. Veselý,822
,84,D. Altmaier,813
,85,S. Johnson,812
,86,P. Gojowczyk,808
,87,R. Gasquet,807
,88,A. Molcan,806
,89,T. Monteiro,805
,90,J. Cerúndolo,803
,91,P. Andújar,800
,92,C. Moutet,797
,93,N. Kyrgios,793
,94,M. Ymer,782
,95,E. Ruusuvuori,778
,96,T. Sandgren,773
,97,P. Cuevas,770
,98,H. Laaksonen,765
,99,S. Báez,762
,100,M. Cecchinato,759
,101,O. Otte,747
,102,A. Seppi,744
,103,H. Rune,740
,104,R. Berankis,739
,105,D. Kudla,733
,106,F. López,731
,107,J. Chardy,718
,108,S. Querrey,715
,109,A. Bedene,715
,110,P. Herbert,713
,111,C. Taberner,707
,112,M. Cressy,683
,113,E. Gerasimov,665
,114,P. Kohlschreiber,658
,115,H. Dellien,654
,116,A. Martin,643
,117,K. Majchrzak,633
,118,N. Gombos,624
,119,D. Novak,621
,120,D. Galán,618
,121,K. Edmund,601
,122,G. Simon,597
,123,R. Albot,587
,124,B. Zapata,586
,125,T. Daniel,584
,126,Y. Hanfmann,583
,127,F. Cerúndolo,582
,128,L. Broady,569
,129,J. Varillas,567
,130,T. Etcheverry,556
,131,T. Seyboth Wild,550
,132,A. Balázs,530
,133,V. Pospisil,524
,134,A. Murray,521
,135,J. Londero,512
,136,J. Rodionov,510
,137,A. Bolt,506
,138,N. Milojevic,506
,139,A. Tabilo,505
,140,J. Sousa,500
,141,J. Lehecka,484
,142,Z. Kolár,481
,143,T. Machác,477
,144,C. Ilkel,468
,145,J. Sock,461
,146,N. Jarry,460
,147,T. Barrios,458
,148,E. Gómez,455
,149,J. Kovalík,452
,150,H. Grenier,450
,151,Q. Halys,448
,152,M. Moraing,444
,153,F. Gaio,441
,154,F. Verdasco,440
,155,L. Pouille,440
,156,A. Vukic,440
,157,S. Caruso,436
,158,D. Džumhur,436
,159,S. Kozlov,434
,160,C. Eubanks,428
,161,Y. Sugita,428
,162,A. Çelikbilek,428
,163,I. Marchenko,427
,164,E. Escobedo,422
,165,B. Fratangelo,422
,166,G. Barrère,417
,167,R. Safiullin,409
,168,K. Zuk,404
,169,M. Krueger,404
,170,E. Ymer,401
,171,T. Kokkinakis,394
,172,E. Donskoy,392
,173,P. Sousa,391
,174,J. Wolf,390
,175,C. O'Connell,388
,176,M. Purcell,386
,177,M. Vilella,385
,178,J. Jung,379
,179,E. Couacaud,370
,180,D. Popko,369
,181,B. Rola,368
,182,M. Kukushkin,366
,183,D. Masur,361
,184,R. Ramanathan,360
,185,A. Giannessi,357
,186,M. Hüsler,357
,187,D. Kuzmanov,355
,188,C. Tseng,352
,189,R. Olivo,351
,190,L. Lacko,351
,191,E. Gulbis,348
,192,Z. Bergs,348
,193,S. Ofner,347
,194,N. Borges,346
,195,F. Horanský,346
,196,M. Polmans,343
,197,G. Moroni,336
,198,V. Kopriva,333
,199,M. Trungelliti,330
,200,A. Hoang,323
,201,F. Agamenone,323
,202,R. Marcora,322
,203,Y. Uchiyama,321
,204,T. Fabbiano,321
,205,F. Cobolli,321
,206,J. Kubler,320
,207,L. Giustino,316
,208,K. Coppejans,313
,209,F. Mena,308
,210,F. Meligeni Alves,304
,211,M. Bourgue,303
,212,R. Bemelmans,301
,213,C. Ugo,301
,214,M. Safwat,298
,215,J. Clarke,297
,216,N. Kicker,297
,217,G. Elias,296
,218,A. Pellegrino,295
,219,P. Gunneswaran,293
,220,S. Stakhovsky,293
,221,T. Kwiatkowski,292
,222,S. Nagal,290
,223,M. Janvier,290
,224,A. Muller,288
,225,P. Kotov,286
,226,J. de Jong,285
,227,C. Stebe,282
,228,C. Lestienne,280
,229,M. Marterer,279
,230,R. Haase,279
,231,M. Torpegaard,279
,232,V. Troicki,276
,233,M. Bašic,276
,234,M. Bachinger,273
,235,G. Blancaneaux,271
,236,J. Ficovich,267
,237,M. Ebden,266
,238,B. Schnur,264
,239,M. Mmoh,263
,240,F. Silva,262
,241,T. Tirante,261
,242,N. Kuhn,255
,243,M. Guinard,255
,244,V. Sachko,254
,245,P. Cachín,254
,246,D. Stricker,253
,247,G. Soeda,253
,248,J. Domingues,251
,249,U. Blanch,249
,250,J. Menezes,248
,251,A. Arnaboldi,247
,252,N. Serdarušic,246
,253,G. Zeppieri,245
,254,D. Istomin,241
,255,T. Kamke,241
,256,C. Harrison,240
,257,T. Skatov,238
,258,L. Klein,237
,259,K. Uchida,235
,260,B. Tomic,231
,261,T. Van Rijthoven,229
,262,A. Collarini,229
,263,J. Tsonga,228
,264,A. Kuznetsov,228
,265,J. Draper,227
,266,Y. Watanuki,223
,267,A. Vavassori,221
,268,R. Peniston,216
,269,E. Karlovskiy,215
,270,T. Wu,214
,271,G. Andreozzi,213
,272,D. Ajdukovic,213
,273,L. Rosol,212
,274,P. Lorenzi,211
,275,S. Diez,211
,276,A. Ritschard,207
,277,T. Lamasine,205
,278,T. Ito,203
,279,I. Karlovic,202
,280,M. Copil,201
,281,T. Gabashvili,201
,282,G. Oliveira,200
,283,E. Tiurnev,198
,284,B. Gojo,196
,285,P. Polansky,196
,286,N. Mejía,196
,287,M. Pucinelli,192
,288,Z. Piros,191
,289,H. Moriya,187
,290,E. Furness,186
,291,L. Miedler,185
,292,G. Melzer,183
,293,J. Barranco,183
,294,M. Kližan,181
,295,O. Luz,180
,296,B. Kavcic,179
,297,A. Cazaux,178
,298,R. Quiroz,178
,299,R. Cid,176
,300,J. Lenz,176
,333,J. Sels,148
