rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
47,Yoshihito Nishioka,Japan,JPN,1921,32,2023-01-30,0,0,1977
48,Corentin Moutet,France,FRA,1921,47,2023-03-06,0,0,1921
49,Christian Garin,Chile,CHI,1918,26,2021-06-13,0,0,2010
50,Jenson Brooksby,United States,USA,1915,31,2022-04-03,0,0,1984
51,Emil Ruusuvuori,Finland,FIN,1914,28,2024-02-26,0,0,1968
52,Alejandro Davidovich Fokina,Spain,ESP,1913,22,2023-09-11,0,0,1998
53,David Goffin,Belgium,BEL,1910,8,2018-05-21,0,0,2165
54,Adrian Mannarino,France,FRA,1894,17,2024-01-29,0,0,2019
55,Lorenzo Sonego,Italy,ITA,1894,25,2021-05-24,0,0,1996
56,Arthur Rinderknech,France,FRA,1894,53,2022-10-31,0,0,1909
57,Jeffrey John Wolf,United States,USA,1894,42,2023-02-13,0,0,1926
58,Maxime Cressy,United States,USA,1893,41,2023-02-13,0,0,1929
59,Marcos Giron,United States,USA,1891,41,2022-02-28,0,0,1934
60,Alex Molcan,Slovakia,SVK,1888,41,2022-07-25,0,0,1941
61,Francisco Cerundolo,Argentina,ARG,1887,23,2023-07-03,0,0,2015
62,Jan Lennard Struff,Germany,GER,1883,17,2024-07-15,0,0,2037
63,Vasek Pospisil,Canada,CAN,1880,30,2021-02-08,0,0,1987
64,Lloyd George Muirhead Harris,South Africa,RSA,1880,30,2021-09-13,0,0,1988
65,Mackenzie Mcdonald,United States,USA,1879,36,2023-04-02,0,0,1945
66,Soon Woo Kwon,"Korea, Republic of",KOR,1875,47,2023-01-16,0,0,1929
67,Jo Wilfried Tsonga,France,FRA,1871,6,2009-03-02,0,0,2244
68,Marton Fucsovics,Hungary,HUN,1868,21,2021-04-04,0,0,2018
69,Albert Ramos,Spain,ESP,1867,25,2017-05-01,0,0,2014
70,Gilles Simon,France,FRA,1867,9,2009-01-11,0,0,2124
71,Daniel Elahi Galan Riveros,Colombia,COL,1865,67,2022-09-26,0,0,1871
72,Jack Sock,United States,USA,1861,13,2017-03-20,1,0,2144
73,Fabio Fognini,Italy,ITA,1859,14,2014-04-11,1,0,2112
74,Laslo Djere,Serbia,SRB,1857,37,2023-09-22,1,0,1958
75,Kyle Edmund,United Kingdom,GBR,1855,24,2018-08-06,1,0,2038
76,Thanasi Kokkinakis,Australia,AUS,1854,40,2024-09-19,-4,-9,1937
77,Steve Johnson,United States,USA,1853,21,2017-04-17,0,0,2042
78,Philipp Kohlschreiber,Germany,GER,1846,14,2016-05-02,0,0,2117
79,Ugo Humbert,France,FRA,1842,12,2024-03-04,0,0,2078
80,Roberto Carballes Baena,Spain,ESP,1837,54,2024-07-01,0,0,1885
81,Pierre Hugues Herbert,France,FRA,1835,32,2019-06-24,0,0,1989
82,Roman Safiullin,Russian Federation,RUS,1834,32,2024-01-08,0,0,1957
83,Marc Andrea Huesler,Switzerland,SUI,1832,73,2023-02-13,0,0,1864
84,Jordan Thompson,Australia,AUS,1832,28,2024-09-09,0,0,1976
85,Ricardas Berankis,Lithuania,LTU,1831,50,2013-04-15,0,0,1914
86,Oscar Otte,Germany,GER,1825,47,2022-08-21,0,0,1917
87,Tim Van Rijthoven,Netherlands,NED,1825,73,2022-07-11,0,0,1870
88,Dominik Koepfer,Germany,GER,1822,52,2021-12-04,0,0,1920
89,Yannick Hanfmann,Germany,GER,1819,47,2023-05-21,0,0,1920
90,Jiri Vesely,Czech Republic,CZE,1818,38,2017-08-07,0,0,1952
91,Federico Coria,Argentina,ARG,1818,86,2022-05-22,0,0,1839
92,Elias Ymer,Sweden,SWE,1817,92,2022-10-31,0,0,1817
93,Jason Kubler,Australia,AUS,1816,66,2023-03-19,0,0,1880
94,Alejandro Tabilo,Chile,CHI,1816,29,2024-07-15,0,0,1958
95,Hugo Gaston,France,FRA,1815,60,2021-12-05,0,0,1891
96,Sebastian Baez,Argentina,ARG,1814,26,2024-03-04,0,0,1970
97,Benjamin Bonzi,France,FRA,1814,62,2023-05-07,0,0,1881
