rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
42,Emil Ruusuvuori,Finland,FIN,1926,28,2024-02-26,0,0,1968
43,Stan Wawrinka,Switzerland,SUI,1923,5,2014-02-17,0,0,2291
44,Jan Lennard Struff,Germany,GER,1922,17,2024-07-15,0,0,2037
45,Lorenzo Sonego,Italy,ITA,1921,25,2021-05-24,0,0,1996
46,Lorenzo Musetti,Italy,ITA,1918,15,2024-08-05,0,0,2052
47,Jiri Lehecka,Czech Republic,CZE,1918,20,2024-05-06,0,0,2017
48,Mackenzie Mcdonald,United States,USA,1916,36,2023-04-02,0,0,1945
49,Marton Fucsovics,Hungary,HUN,1912,21,2021-04-04,0,0,2018
50,Aslan Karatsev,Russian Federation,RUS,1907,26,2021-05-30,0,0,1998
51,Dominic Thiem,Austria,AUT,1907,4,2020-02-03,0,0,2250
52,Sebastian Baez,Argentina,ARG,1907,26,2024-03-04,0,0,1970
53,Roberto Bautista Agut,Spain,ESP,1905,9,2019-07-15,0,0,2135
54,Yoshihito Nishioka,Japan,JPN,1904,32,2023-01-30,0,0,1977
55,Botic Van De Zandschulp,Netherlands,NED,1902,27,2022-09-24,0,0,1998
56,Daniel Evans,United Kingdom,GBR,1899,25,2021-02-08,0,0,2002
57,Christian Garin,Chile,CHI,1896,26,2021-06-13,0,0,2010
58,Alex Molcan,Slovakia,SVK,1894,41,2022-07-25,0,0,1941
59,Zhizhen Zhang,China,CHN,1890,38,2024-06-24,0,0,1921
60,Thanasi Kokkinakis,Australia,AUS,1885,40,2024-09-19,0,0,1937
61,Tomas Martin Etcheverry,Argentina,ARG,1885,37,2024-06-10,0,0,1932
62,Borna Gojo,Croatia,CRO,1884,61,2023-10-30,0,0,1884
63,Kevin Anderson,South Africa,RSA,1882,6,2019-04-15,0,0,2181
64,Mikael Ymer,Sweden,SWE,1875,42,2023-02-10,0,0,1938
65,Diego Sebastian Schwartzman,Argentina,ARG,1871,11,2020-11-02,0,0,2097
66,Marcos Giron,United States,USA,1869,41,2022-02-28,0,0,1934
67,Jeffrey John Wolf,United States,USA,1868,42,2023-02-13,0,0,1926
68,Arthur Fils,France,FRA,1867,23,2024-11-28,0,0,1998
69,Michael Mmoh,United States,USA,1866,60,2024-02-09,0,0,1875
70,Christopher Eubanks,United States,USA,1864,44,2023-07-24,0,0,1932
71,John Isner,United States,USA,1862,10,2012-04-13,1,0,2147
72,Sebastian Ofner,Austria,AUT,1861,59,2024-01-15,1,0,1888
73,Vasek Pospisil,Canada,CAN,1861,30,2021-02-08,1,0,1987
74,Jeremy Chardy,France,FRA,1859,23,2015-09-14,1,0,2016
75,Dominic Stephan Stricker,Switzerland,SUI,1856,70,2023-09-11,1,0,1868
76,Fabio Fognini,Italy,ITA,1856,14,2014-04-11,1,0,2112
77,Dusan Lajovic,Serbia,SRB,1854,35,2019-04-22,1,0,1962
78,Yannick Hanfmann,Germany,GER,1853,47,2023-05-21,1,0,1920
79,Ilya Ivashka,Belarus,BLR,1853,29,2021-09-13,1,0,1987
80,Brandon Nakashima,United States,USA,1853,28,2024-09-21,1,0,1978
81,Fabian Marozsan,Hungary,HUN,1852,37,2024-04-01,1,0,1934
82,Miomir Kecmanovic,Serbia,SRB,1849,27,2022-08-08,1,0,1977
83,Pavel Kotov,Russian Federation,RUS,1849,43,2024-07-01,1,0,1899
84,Alexei Popyrin,Australia,AUS,1848,23,2024-09-21,-13,-15,1998
85,Matteo Arnaldi,Italy,ITA,1848,80,2024-09-25,0,0,1848
86,Soon Woo Kwon,"Korea, Republic of",KOR,1848,47,2023-01-16,0,0,1929
87,Jordan Thompson,Australia,AUS,1845,28,2024-09-09,0,0,1976
88,Tomas Machac,Czech Republic,CZE,1845,21,2024-10-13,0,0,2010
89,David Goffin,Belgium,BEL,1844,8,2018-05-21,0,0,2165
90,Alexander Shevchenko,Kazakhstan,KAZ,1842,65,2024-02-19,0,0,1870
91,Yibing Wu,China,CHN,1835,77,2023-02-20,0,0,1851
92,Harry Thursfield,Italy,ITA,1833,34,2024-06-10,15,18,1938
93,Jack Sock,United States,USA,1832,13,2017-03-20,-1,-1,2144
94,Jiri Vesely,Czech Republic,CZE,1828,38,2017-08-07,-1,0,1952
95,Pedro Cachin,Argentina,ARG,1828,68,2023-07-24,-1,0,1869
96,Filip Krajinovic,Serbia,SRB,1827,25,2020-08-31,-1,0,2033
97,Lloyd George Muirhead Harris,South Africa,RSA,1824,30,2021-09-13,-1,0,1988
98,Rinky Hijikata,Australia,AUS,1823,83,2024-09-25,-1,0,1846
99,Tim Van Rijthoven,Netherlands,NED,1822,73,2022-07-11,-1,0,1870
100,Dominik Koepfer,Germany,GER,1820,52,2021-12-04,-1,0,1920
101,Juan Pablo Varillas Patino Samudio,Peru,PER,1819,82,2023-06-12,-1,0,1845
102,Maximilian Marterer,Germany,GER,1819,71,2018-06-18,-1,0,1888
103,Liam Broady,United Kingdom,GBR,1817,91,2024-02-12,-1,0,1826
104,John Millman,Australia,AUS,1817,38,2018-09-10,-1,0,1954
105,Benjamin Bonzi,France,FRA,1817,62,2023-05-07,-1,0,1881
106,Christopher Oconnell,Australia,AUS,1816,49,2024-04-08,-1,0,1891
107,Steve Johnson,United States,USA,1816,21,2017-04-17,-1,0,2042
108,Arthur Rinderknech,France,FRA,1815,53,2022-10-31,0,0,1909
109,Ricardas Berankis,Lithuania,LTU,1813,50,2013-04-15,0,0,1914
110,Gregoire Barrere,France,FRA,1813,64,2023-07-17,0,0,1874
111,Pierre Hugues Herbert,France,FRA,1812,32,2019-06-24,0,0,1989
112,Filip Misolic,Austria,AUT,1811,99,2023-07-31,0,0,1827
113,Quentin Halys,France,FRA,1811,53,2024-07-22,0,0,1887
114,Roberto Carballes Baena,Spain,ESP,1809,54,2024-07-01,0,0,1885
115,Jaume Munar,Spain,ESP,1802,76,2019-05-06,0,0,1866
116,Aleksandar Vukic,Australia,AUS,1801,63,2024-11-11,0,0,1868
117,Ryan Peniston,United Kingdom,GBR,1799,96,2023-06-26,0,0,1825
118,Guido Pella,Argentina,ARG,1797,29,2019-08-12,0,0,2009
119,Daniel Altmaier,Germany,GER,1795,97,2021-11-01,0,0,1826
120,Gijs Brouwer,Netherlands,NED,1795,80,2023-04-10,0,0,1845
121,Thiago Monteiro,Brazil,BRA,1794,48,2024-05-20,0,0,1890
122,Taro Daniel,Japan,JPN,1794,62,2023-07-01,0,0,1882
123,Alejandro Tabilo,Chile,CHI,1793,29,2024-07-15,0,0,1958
124,Jason Kubler,Australia,AUS,1792,66,2023-03-19,0,0,1880
125,Yosuke Watanuki,Japan,JPN,1792,104,2023-08-07,0,0,1820
126,Juan Manuel Cerundolo,Argentina,ARG,1791,103,2023-02-13,0,0,1807
127,Kyle Edmund,United Kingdom,GBR,1785,24,2018-08-06,0,0,2038
128,Richard Gasquet,France,FRA,1783,9,2007-10-08,0,0,2196
129,Hugo Gaston,France,FRA,1782,60,2021-12-05,0,0,1891
130,Alex Michelsen,United States,USA,1779,51,2024-10-21,0,0,1901
131,Alex Bolt,Australia,AUS,1771,81,2021-07-31,0,0,1846
132,Hamad Medjedovic,Serbia,SRB,1767,88,2024-11-11,0,0,1834
133,Radu Albot,"Moldova, Republic of",MDA,1766,45,2019-04-01,0,0,1936
134,Federico Coria,Argentina,ARG,1766,86,2022-05-22,0,0,1839
135,Corentin Moutet,France,FRA,1765,47,2023-03-06,0,0,1921
136,Marcelo Arevalo,El Salvador,ESA,1764,96,2017-06-19,0,0,1825
137,Luca Van Assche,France,FRA,1764,101,2024-02-10,0,0,1822
138,Bernabe Zapata Miralles,Spain,ESP,1763,67,2023-05-21,0,0,1876
139,Albert Ramos,Spain,ESP,1760,25,2017-05-01,0,0,2014
140,Max Purcell,Australia,AUS,1760,89,2023-08-27,0,0,1834
141,Damir Dzumhur,Bosnia and Herzegovina,BIH,1758,32,2017-10-02,0,0,1994
142,Maxime Cressy,United States,USA,1757,41,2023-02-13,0,0,1929
143,Jurij Rodionov,Austria,AUT,1756,118,2021-06-15,0,0,1790
144,Marco Cecchinato,Italy,ITA,1756,39,2018-07-23,0,0,1953
145,Andrea Vavassori,Italy,ITA,1754,118,2024-04-08,0,0,1796
146,Denis Kudla,United States,USA,1751,80,2021-08-22,0,0,1855
147,Alexandre Muller,France,FRA,1749,90,2024-10-13,0,0,1829
148,Pablo Andujar,Spain,ESP,1748,49,2014-10-27,0,0,1929
149,Elias Ymer,Sweden,SWE,1746,92,2022-10-31,0,0,1817
150,Nikoloz Basilashvili,Georgia,GEO,1744,30,2019-01-07,0,0,1990
151,Nuno Borges,Portugal,POR,1743,47,2024-09-19,0,0,1908
152,Zsombor Piros,Hungary,HUN,1742,124,2024-10-02,0,0,1778
153,Thiago Seyboth Wild,Brazil,BRA,1741,80,2024-10-21,0,0,1849
154,Jozef Kovalik,Slovakia,SVK,1737,112,2024-07-15,0,0,1806
155,Otto Virtanen,Finland,FIN,1737,120,2024-09-17,0,0,1790
156,Aleksandar Kovacevic,United States,USA,1734,130,2024-03-04,0,0,1780
157,James Duckworth,Australia,AUS,1734,62,2021-12-05,0,0,1887
158,Joao Sousa,Portugal,POR,1733,32,2016-02-01,0,0,1974
159,Daniel Elahi Galan Riveros,Colombia,COL,1731,67,2022-09-26,0,0,1871
160,Oscar Otte,Germany,GER,1726,47,2022-08-21,0,0,1917
161,Flavio Cobolli,Italy,ITA,1725,32,2024-10-28,0,0,1957
162,Hugo Grenier,France,FRA,1724,142,2023-05-07,0,0,1753
163,Giulio Zeppieri,Italy,ITA,1723,142,2024-09-25,0,0,1750
164,Gabriel Diallo,Canada,CAN,1719,89,2024-10-21,0,0,1828
165,Timofey Skatov,Kazakhstan,KAZ,1718,112,2024-08-05,0,0,1796
166,Shintaro Mochizuki,Japan,JPN,1715,163,2023-10-30,0,0,1715
167,Mikhail Kukushkin,Kazakhstan,KAZ,1712,41,2019-02-25,0,0,1943
168,Sumit Nagal,India,IND,1711,142,2024-04-22,0,0,1758
169,Feliciano Lopez,Spain,ESP,1709,16,2014-10-12,0,0,2074
170,Darian King,Barbados,BAR,1700,90,2017-09-22,0,0,1846
171,Enzo Couacaud,France,FRA,1699,168,2023-11-13,0,0,1700
172,Pedro Martinez Portero,Spain,ESP,1698,43,2022-04-17,0,0,1926
173,Juncheng Shang,China,CHN,1697,33,2024-09-25,0,0,1951
174,Guido Andreozzi,Argentina,ARG,1697,158,2019-04-15,0,0,1740
175,Ernesto Escobedo,Mexico,MEX,1692,102,2017-04-17,0,0,1815
176,Marcelo Tomas Barrios Vera,Chile,CHI,1688,168,2023-07-17,0,0,1704
177,Fernando Verdasco,Spain,ESP,1686,7,2009-05-04,0,0,2204
178,Sho Shimabukuro,Japan,JPN,1684,175,2023-11-13,0,0,1684
179,Cem Ilkel,Turkey,TUR,1684,176,2023-11-13,0,0,1684
180,Jason Jung,"Taiwan, Province of China",TPE,1684,134,2020-02-17,0,0,1778
181,Emilio Nava,United States,USA,1684,159,2023-04-02,0,0,1709
182,Benjamin Hassan,Lebanon,LBN,1682,149,2024-09-25,0,0,1735
183,Constant Lestienne,France,FRA,1677,84,2023-02-09,0,0,1833
184,Facundo Bagnis,Argentina,ARG,1675,105,2021-04-04,0,0,1804
185,Aqeel Khan,Pakistan,PAK,1674,154,2018-02-09,0,0,1745
186,Zizou Bergs,Belgium,BEL,1672,79,2024-10-21,0,0,1848
187,Francesco Passaro,Italy,ITA,1670,159,2024-09-18,0,0,1713
188,Dimitar Kuzmanov,Bulgaria,BUL,1670,146,2023-03-06,0,0,1733
189,Emilio Gomez,Ecuador,ECU,1666,152,2017-02-10,0,0,1744
190,Hugo Dellien,"Bolivia, Plurinational State of",BOL,1665,127,2019-09-23,0,0,1781
191,Marc Andrea Huesler,Switzerland,SUI,1662,73,2023-02-13,0,0,1864
192,Chun Hsin Tseng,"Taiwan, Province of China",TPE,1654,172,2022-11-20,0,0,1679
193,Kimmer Coppejans,Belgium,BEL,1640,178,2019-09-09,0,0,1684
194,Mohamed Safwat,Egypt,EGY,1634,176,2020-01-13,0,0,1694
195,Lukas Klein,Slovakia,SVK,1633,133,2024-11-11,0,0,1771
196,Dennis Novak,Austria,AUT,1629,115,2018-10-22,0,0,1802
197,Luca Nardi,Italy,ITA,1588,154,2024-05-27,0,0,1736
198,Viktor Durasovic,Norway,NOR,1586,176,2021-03-08,0,0,1648
199,Benoit Paire,France,FRA,1567,25,2016-01-11,0,0,2003
200,Seong Chan Hong,"Korea, Republic of",KOR,1554,168,2024-09-20,0,0,1703
