,,Players,Pts
,246,C. Zhao,286
,247,T. Prozorova,286
,248,J. Mikulskyte,283
,249,H. Kaji,282
,250,N. Stojanovic,278
,251,I. Bara,277
,252,H. Sakatsume,277
,253,S. Fung,275
,254,L. Hovde,274
,255,J. Ortenzi,273
,256,A. Banks,272
,257,T. Lukas,272
,258,P. Marcinko,270
,259,W. Osuigwe,267
,260,N. Fossa Huergo,265
,261,S. Jang,263
,262,C. Branstine,263
,263,V. Ryser,262
,264,K. Cross,260
,265,X. Yao,259
,266,T. Smith,259
,267,E. Liang,256
,268,A. Charaeva,256
,269,C. Liu,255
,270,L. Davis,253
,271,L. Klimovicová,253
,272,T. Würth,249
,273,A. Hesse,247
,274,E. Mandlik,246
,275,J. Lu,244
,276,M. Yamaguchi,244
,277,E. Kalieva,242
,278,Y. In-Albon,242
,279,L. Gjorcheska,241
,280,C. Ngounoue,240
,281,D. Papamichail,238
,282,O. Oliynykova,233
,283,K. Dmitruk,233
,284,F. Ferro,232
,285,A. Raina,232
,286,A. Krunic,230
,287,H. Tan,229
,288,A. Urhobo,227
,289,A. Tikhonova,225
,290,V. Strakhova,225
,291,S. Cakarevic,222
,292,J. Štruplová,221
,293,L. Cabrera,218
,294,C. Dinu,217
,295,T. Andrianjafitrimo,217
,296,G. Feistel,216
,297,R. Anderson,214
,298,S. Costoulas,214
,299,C. Alves,213
,300,X. You,212
,317,E. Vedder,200
,438,L. Tran,131
