rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
178,Pedro Sousa,Portugal,POR,1683,148,2018-11-19,-1,0,1757
179,Jozef Kovalik,Slovakia,SVK,1682,112,2024-07-15,-1,0,1806
180,Sumit Nagal,India,IND,1672,142,2024-04-22,0,0,1758
181,Marc Polmans,Australia,AUS,1670,156,2021-01-11,0,0,1739
182,Holger Vitus Nodskov Rune,Denmark,DEN,1669,5,2023-07-17,0,0,2147
183,Frederico Ferreira Silva,Portugal,POR,1657,173,2021-02-22,0,0,1670
184,Emilio Gomez,Ecuador,ECU,1650,152,2017-02-10,0,0,1744
185,Mikael Torpegaard,Denmark,DEN,1649,175,2021-03-08,0,0,1670
186,Viktor Durasovic,Norway,NOR,1637,176,2021-03-08,0,-1,1648
187,Mohamed Safwat,Egypt,EGY,1636,176,2020-01-13,0,0,1694
188,Federico Gaio,Italy,ITA,1634,183,2021-03-08,0,0,1634
189,Prajnesh Gunneswaran,India,IND,1625,167,2019-03-18,0,0,1721
190,Kimmer Coppejans,Belgium,BEL,1598,178,2019-09-09,0,0,1684
191,Quentin Halys,France,FRA,1595,53,2024-07-22,0,0,1887
192,Elias Ymer,Sweden,SWE,1586,92,2022-10-31,0,0,1817
193,Cem Ilkel,Turkey,TUR,1551,176,2023-11-13,0,-1,1684
194,John Patrick Smith,Australia,AUS,1501,168,2016-02-22,0,0,1708
