server_name,random_intercept,group,model,rank,label
Fabio Fognini,-0.094470835,m_first,speed_ratio_z,97,Average
Facundo Diaz Acosta,-0.226324043,m_first,speed_ratio_z,124,Under-performer
Federico Delbonis,-0.078972372,m_first,speed_ratio_z,91,Average
Feliciano Lopez,0.050499581,m_first,speed_ratio_z,41,Average
Frances Tiafoe,0.123798857,m_first,speed_ratio_z,17,Average
Francisco Cerundolo,0.060701482,m_first,speed_ratio_z,33,Average
Gael Monfils,0.048253354,m_first,speed_ratio_z,43,Average
Gijs Brouwer,0.075255289,m_first,speed_ratio_z,26,Average
Grigor Dimitrov,0.352853226,m_first,speed_ratio_z,2,Over-performer
Guido Pella,0.060129042,m_first,speed_ratio_z,34,Average
Holger Rune,0.044581514,m_first,speed_ratio_z,47,Average
Hubert Hurkacz,0.169535512,m_first,speed_ratio_z,11,Average
Hugo Dellien,-0.205575368,m_first,speed_ratio_z,122,Under-performer
Ilya Ivashka,-0.102441567,m_first,speed_ratio_z,102,Average
Jack Draper,0.137951378,m_first,speed_ratio_z,14,Average
Jack Sock,-0.06509882,m_first,speed_ratio_z,85,Average
James Duckworth,-0.01503946,m_first,speed_ratio_z,69,Average
Jannik Sinner,0.089154353,m_first,speed_ratio_z,22,Average
Jason Kubler,-0.038244553,m_first,speed_ratio_z,79,Average
Jaume Munar,-0.093001493,m_first,speed_ratio_z,96,Average
Jenson Brooksby,-0.145936392,m_first,speed_ratio_z,116,Average
Jiri Lehecka,0.063182082,m_first,speed_ratio_z,31,Average
Jiri Vesely,-0.077331479,m_first,speed_ratio_z,89,Average
John Isner,0.24834824,m_first,speed_ratio_z,6,Over-performer
John Millman,-0.010469301,m_first,speed_ratio_z,67,Average
Jordan Thompson,0.088865869,m_first,speed_ratio_z,23,Average
Juncheng Shang,0.070870473,m_first,speed_ratio_z,27,Average
Karen Khachanov,-0.126107876,m_first,speed_ratio_z,109,Average
Kei Nishikori,-0.183124971,m_first,speed_ratio_z,120,Under-performer
Kevin Anderson,0.002057727,m_first,speed_ratio_z,65,Average
Laslo Djere,0.28191028,m_first,speed_ratio_z,3,Over-performer
Liam Broady,-0.124521053,m_first,speed_ratio_z,107,Average
Lloyd Harris,-0.144756879,m_first,speed_ratio_z,115,Average
Lorenzo Musetti,-0.031285843,m_first,speed_ratio_z,76,Average
Lorenzo Sonego,0.046531142,m_first,speed_ratio_z,45,Average
Lucas Pouille,-0.08033369,m_first,speed_ratio_z,94,Average
Marco Cecchinato,-0.072309654,m_first,speed_ratio_z,86,Average
Marcos Giron,-0.032816534,m_first,speed_ratio_z,77,Average
Marin Cilic,0.008367695,m_first,speed_ratio_z,62,Average
Marton Fucsovics,-0.030423535,m_first,speed_ratio_z,75,Average
Matteo Berrettini,0.20971564,m_first,speed_ratio_z,9,Over-performer
Mattia Bellucci,0.127309449,m_first,speed_ratio_z,15,Average
Max Purcell,0.029227577,m_first,speed_ratio_z,55,Average
Maxime Cressy,0.028029771,m_first,speed_ratio_z,58,Average
Maximilian Marterer,-0.113097956,m_first,speed_ratio_z,104,Average
Mikael Ymer,-0.138883301,m_first,speed_ratio_z,112,Average
Miomir Kecmanovic,-0.017657941,m_first,speed_ratio_z,71,Average
Nick Kyrgios,-0.04469637,m_first,speed_ratio_z,81,Average
Nicolas Jarry,0.057648744,m_first,speed_ratio_z,35,Average
Nikoloz Basilashvili,-0.080096251,m_first,speed_ratio_z,93,Average
Novak Djokovic,0.057625661,m_first,speed_ratio_z,36,Average
Oscar Otte,-0.135222459,m_first,speed_ratio_z,110,Average
Pablo Andujar,0.044587612,m_first,speed_ratio_z,46,Average
Pedro Cachin,0.064098727,m_first,speed_ratio_z,30,Average
Pedro Martinez,-0.106899472,m_first,speed_ratio_z,103,Average
Philipp Kohlschreiber,0.225978734,m_first,speed_ratio_z,8,Over-performer
Quentin Halys,0.1004274,m_first,speed_ratio_z,19,Average
Radu Albot,-0.098578359,m_first,speed_ratio_z,100,Average
Rafael Nadal,-0.125061922,m_first,speed_ratio_z,108,Average
Ricardas Berankis,0.064991067,m_first,speed_ratio_z,28,Average
Richard Gasquet,-0.121744123,m_first,speed_ratio_z,106,Average
Roberto Bautista Agut,-0.337090178,m_first,speed_ratio_z,127,Under-performer
Roberto Carballes Baena,-0.202253146,m_first,speed_ratio_z,121,Under-performer
Roger Federer,-0.012801858,m_first,speed_ratio_z,68,Average
Roman Safiullin,-0.143534322,m_first,speed_ratio_z,114,Average
Salvatore Caruso,-0.096693274,m_first,speed_ratio_z,99,Average
Sam Querrey,0.06411377,m_first,speed_ratio_z,29,Average
Sebastian Korda,-0.079569857,m_first,speed_ratio_z,92,Average
Stan Wawrinka,0.016819067,m_first,speed_ratio_z,60,Average
Stefan Kozlov,-0.222962335,m_first,speed_ratio_z,123,Under-performer
Stefanos Tsitsipas,0.258641221,m_first,speed_ratio_z,5,Over-performer
Steve Johnson,0.042180509,m_first,speed_ratio_z,49,Average
Tallon Griekspoor,0.036746322,m_first,speed_ratio_z,50,Average
Taro Daniel,-0.074978097,m_first,speed_ratio_z,87,Average
Taylor Fritz,0.06140347,m_first,speed_ratio_z,32,Average
Tennys Sandgren,-0.036181705,m_first,speed_ratio_z,78,Average
Thanasi Kokkinakis,0.048441247,m_first,speed_ratio_z,42,Average
Thiago Seyboth Wild,-0.077583731,m_first,speed_ratio_z,90,Average
Tim Van Rijthoven,0.042487595,m_first,speed_ratio_z,48,Average
Tommy Paul,0.092680942,m_first,speed_ratio_z,20,Average
Ugo Humbert,0.024940264,m_first,speed_ratio_z,59,Average
Yannick Hanfmann,0.028509587,m_first,speed_ratio_z,56,Average
Yibing Wu,0.007163411,m_first,speed_ratio_z,64,Average
Yoshihito Nishioka,0.080489726,m_first,speed_ratio_z,24,Average
Yosuke Watanuki,0.051290796,m_first,speed_ratio_z,40,Average
Adrian Mannarino,0.016433115,m_second,Speed_MPH_z,5,Over-performer
Alejandro Davidovich Fokina,0.009175543,m_second,Speed_MPH_z,16,Average
Alejandro Tabilo,0.00093912,m_second,Speed_MPH_z,57,Average
Aleksandar Kovacevic,-0.004184688,m_second,Speed_MPH_z,92,Average
Aleksandar Vukic,-0.001269502,m_second,Speed_MPH_z,72,Average
Alex de Minaur,-0.007415921,m_second,Speed_MPH_z,107,Average
Alex De Minaur,0.007083443,m_second,Speed_MPH_z,23,Average
Alex Molcan,-0.00353008,m_second,Speed_MPH_z,87,Average
Alexander Bublik,-0.001586225,m_second,Speed_MPH_z,75,Average
Alexander Zverev,0.018749812,m_second,Speed_MPH_z,3,Over-performer
Alexandre Muller,0.014619287,m_second,Speed_MPH_z,7,Over-performer
Alexei Popyrin,-0.003867549,m_second,Speed_MPH_z,90,Average
Aljaz Bedene,0.007199494,m_second,Speed_MPH_z,22,Average
Andrey Rublev,-0.013751464,m_second,Speed_MPH_z,123,Under-performer
Andy Murray,0.022618522,m_second,Speed_MPH_z,1,Over-performer
Arthur Fils,-0.005113082,m_second,Speed_MPH_z,96,Average
Arthur Rinderknech,-0.00381886,m_second,Speed_MPH_z,89,Average
Aslan Karatsev,0.003305328,m_second,Speed_MPH_z,37,Average
Ben Shelton,0.002427786,m_second,Speed_MPH_z,46,Average
Benoit Paire,-0.003412986,m_second,Speed_MPH_z,85,Average
Borna Coric,0.000763113,m_second,Speed_MPH_z,59,Average
Botic van De Zandschulp,-0.008296033,m_second,Speed_MPH_z,109,Average
Botic Van De Zandschulp,0.001381049,m_second,Speed_MPH_z,51,Average
Brandon Nakashima,0.007592439,m_second,Speed_MPH_z,20,Average
Cameron Norrie,-0.005764481,m_second,Speed_MPH_z,98,Average
Carlos Alcaraz,0.002693033,m_second,Speed_MPH_z,43,Average
Casper Ruud,0.005658559,m_second,Speed_MPH_z,27,Average
Christopher Eubanks,-0.002343308,m_second,Speed_MPH_z,79,Average
