server_name,random_intercept,group,model,label
Alexander Zverev,0.440301747632824,m_first,speed_ratio_z,Over-performer
Alexandre Muller,-0.0280605834404156,m_first,speed_ratio_z,Average
Alexei Popyrin,0.0573149387557107,m_first,speed_ratio_z,Average
Aljaz Bedene,-0.0170647289851636,m_first,speed_ratio_z,Average
Andrey Rublev,0.03206108250867,m_first,speed_ratio_z,Average
Andy Murray,0.125320314527527,m_first,speed_ratio_z,Average
Arthur Fils,-0.270262093711442,m_first,speed_ratio_z,Under-performer
Arthur Rinderknech,0.247024349786232,m_first,speed_ratio_z,Average
Aslan Karatsev,-0.0530714830321917,m_first,speed_ratio_z,Average
Ben Shelton,0.112803890728512,m_first,speed_ratio_z,Average
Benoit Paire,-0.175774590577679,m_first,speed_ratio_z,Average
Borna Coric,-0.148967562638603,m_first,speed_ratio_z,Average
Botic van De Zandschulp,0.0539917128049288,m_first,speed_ratio_z,Average
Botic Van De Zandschulp,0.158143300461028,m_first,speed_ratio_z,Average
Brandon Nakashima,0.178651508054356,m_first,speed_ratio_z,Average
Cameron Norrie,-0.0771963035344104,m_first,speed_ratio_z,Average
Carlos Alcaraz,-0.0827160763171015,m_first,speed_ratio_z,Average
Casper Ruud,0.0080626350420148,m_first,speed_ratio_z,Average
Christopher Eubanks,-0.175143940897457,m_first,speed_ratio_z,Average
Cristian Garin,-0.0417528782047553,m_first,speed_ratio_z,Average
Daniel Evans,0.046980807050142,m_first,speed_ratio_z,Average
Daniil Medvedev,0.000718753418308812,m_first,speed_ratio_z,Average
David Goffin,-0.0516681729238931,m_first,speed_ratio_z,Average
Denis Kudla,-0.0182225145352655,m_first,speed_ratio_z,Average
Denis Shapovalov,0.0326840117191916,m_first,speed_ratio_z,Average
Diego Schwartzman,-0.137846533678487,m_first,speed_ratio_z,Average
Dominic Stricker,0.0910893923810438,m_first,speed_ratio_z,Average
Dominic Thiem,0.0769319170077004,m_first,speed_ratio_z,Average
Dominik Koepfer,-0.0959936443605818,m_first,speed_ratio_z,Average
Dusan Lajovic,-0.0989069696844886,m_first,speed_ratio_z,Average
Elias Ymer,-0.0608899297617243,m_first,speed_ratio_z,Average
Emil Ruusuvuori,0.142906523740147,m_first,speed_ratio_z,Average
Fabian Marozsan,-0.142452440802586,m_first,speed_ratio_z,Average
Fabio Fognini,-0.0944708348565776,m_first,speed_ratio_z,Average
Facundo Diaz Acosta,-0.226324042800697,m_first,speed_ratio_z,Average
Federico Delbonis,-0.0789723722407399,m_first,speed_ratio_z,Average
Feliciano Lopez,0.0504995814789045,m_first,speed_ratio_z,Average
Frances Tiafoe,0.123798856910157,m_first,speed_ratio_z,Average
Francisco Cerundolo,0.0607014823050776,m_first,speed_ratio_z,Average
Gael Monfils,0.0482533535482365,m_first,speed_ratio_z,Average
Gijs Brouwer,0.0752552892400105,m_first,speed_ratio_z,Average
Grigor Dimitrov,0.352853226201078,m_first,speed_ratio_z,Over-performer
Guido Pella,0.0601290422447861,m_first,speed_ratio_z,Average
Holger Rune,0.0445815136816177,m_first,speed_ratio_z,Average
Hubert Hurkacz,0.169535511658329,m_first,speed_ratio_z,Average
Hugo Dellien,-0.205575368431758,m_first,speed_ratio_z,Average
Ilya Ivashka,-0.102441567340785,m_first,speed_ratio_z,Average
Jack Draper,0.137951378300754,m_first,speed_ratio_z,Average
Jack Sock,-0.0650988198198122,m_first,speed_ratio_z,Average
James Duckworth,-0.0150394603210858,m_first,speed_ratio_z,Average
Jannik Sinner,0.0891543526735705,m_first,speed_ratio_z,Average
Jason Kubler,-0.0382445534782888,m_first,speed_ratio_z,Average
Jaume Munar,-0.0930014926782326,m_first,speed_ratio_z,Average
Jenson Brooksby,-0.145936392312461,m_first,speed_ratio_z,Average
Jiri Lehecka,0.0631820822313245,m_first,speed_ratio_z,Average
Jiri Vesely,-0.0773314785066149,m_first,speed_ratio_z,Average
John Isner,0.2483482396338,m_first,speed_ratio_z,Average
John Millman,-0.0104693012042557,m_first,speed_ratio_z,Average
Jordan Thompson,0.0888658692104572,m_first,speed_ratio_z,Average
Juncheng Shang,0.0708704728794346,m_first,speed_ratio_z,Average
Karen Khachanov,-0.126107875967926,m_first,speed_ratio_z,Average
Kei Nishikori,-0.183124970546948,m_first,speed_ratio_z,Average
Kevin Anderson,0.00205772672515016,m_first,speed_ratio_z,Average
Laslo Djere,0.281910279887411,m_first,speed_ratio_z,Over-performer
Liam Broady,-0.124521053399762,m_first,speed_ratio_z,Average
Lloyd Harris,-0.144756879225084,m_first,speed_ratio_z,Average
Lorenzo Musetti,-0.0312858432808224,m_first,speed_ratio_z,Average
Lorenzo Sonego,0.0465311419750624,m_first,speed_ratio_z,Average
Lucas Pouille,-0.0803336902528964,m_first,speed_ratio_z,Average
Marco Cecchinato,-0.0723096539357684,m_first,speed_ratio_z,Average
Marcos Giron,-0.0328165343459648,m_first,speed_ratio_z,Average
Marin Cilic,0.00836769515587834,m_first,speed_ratio_z,Average
Marton Fucsovics,-0.030423535382381,m_first,speed_ratio_z,Average
Matteo Berrettini,0.209715639652354,m_first,speed_ratio_z,Average
Mattia Bellucci,0.127309449098793,m_first,speed_ratio_z,Average
Max Purcell,0.0292275767728985,m_first,speed_ratio_z,Average
Maxime Cressy,0.0280297710426331,m_first,speed_ratio_z,Average
Maximilian Marterer,-0.113097955639658,m_first,speed_ratio_z,Average
Mikael Ymer,-0.138883300755811,m_first,speed_ratio_z,Average
Miomir Kecmanovic,-0.0176579410710497,m_first,speed_ratio_z,Average
