"match_id","year","SetNo","GameNo","PointNumber","player1","player2","ServeNumber","ServeIndicator","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","importance","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","Speed_MPH","player1_name","player2_name","player1_avg_welo","player2_avg_welo","welo_p1_bt","welo_p2_bt","p_server_beats_returner","ElapsedSeconds"
"2019-wimbledon-2101",2019,1,7,43,"Ashleigh Barty","Saisai Zheng",1,1,1,"C","NCTL",5,15.078,18.064,"30","0","30-0",0,1,1.02540336422932,8.6,0,0,3,3,0,0,0,0,103,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1608
"2019-wimbledon-2101",2019,1,7,44,"Ashleigh Barty","Saisai Zheng",1,1,1,"C","CTL",1,1.304,1.767,"40","0","40-0",0,1,1.14486783384827,2.53,0,0,3,3,1,0,0,0,115,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1636
"2019-wimbledon-2101",2019,1,7,45,"Ashleigh Barty","Saisai Zheng",2,2,1,"W","CTL",1,2.876,4.741,"0","0","0-0",1,0,0.948451053283767,23.09,0,0,4,3,0,0,0,0,89,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1654
"2019-wimbledon-2101",2019,1,8,46,"Ashleigh Barty","Saisai Zheng",1,2,2,"BW","NCTL",3,13.867,13.67,"0","15","15-0",0,1,1.03370508054523,15.93,0,0,4,3,0,0,0,0,97,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1765
"2019-wimbledon-2101",2019,1,8,47,"Ashleigh Barty","Saisai Zheng",1,2,2,"C","CTL",11,42.174,35.758,"0","30","30-0",0,1,1.03370508054523,8.6,0,0,4,3,0,0,0,0,97,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1791
"2019-wimbledon-2101",2019,1,8,48,"Ashleigh Barty","Saisai Zheng",1,2,2,"C","NCTL",3,8.274,7.49,"0","40","40-0",0,1,0.991078066914498,2.53,0,0,4,3,0,0,0,0,93,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1850
"2019-wimbledon-2101",2019,1,8,49,"Ashleigh Barty","Saisai Zheng",1,2,1,"W","CTL",4,14.671,10.622,"15","40","40-15",0,0,1.02304832713755,8.11,0,0,4,3,0,0,0,0,96,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1874
"2019-wimbledon-2101",2019,1,8,50,"Ashleigh Barty","Saisai Zheng",1,1,2,"BW","CTL",5,16.279,15.932,"0","0","0-0",2,0,0.94576038448335,23.09,0,0,4,4,0,0,0,0,95,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1903
"2019-wimbledon-2101",2019,1,9,51,"Ashleigh Barty","Saisai Zheng",0,1,2,"","",0,0.45,0.277,"0","15","0-15",0,0,0,34.74,0,0,4,4,0,0,1,0,0,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1954
"2019-wimbledon-2101",2019,1,9,52,"Ashleigh Barty","Saisai Zheng",1,1,1,"C","CTL",1,2.22,3.579,"15","15","15-15",0,1,1.03535873669756,30.02,0,0,4,4,0,0,0,0,104,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1979
"2019-wimbledon-2101",2019,1,9,53,"Ashleigh Barty","Saisai Zheng",2,1,2,"C","NCTL",10,29.848,30.715,"15","30","15-30",0,0,0.886028149673876,46.55,0,0,4,4,0,0,0,0,89,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1997
"2019-wimbledon-2101",2019,1,9,54,"Ashleigh Barty","Saisai Zheng",2,1,1,"BW","NCTL",3,8.093,8.047,"30","30","30-30",0,1,0.87607277720563,43.39,0,0,4,4,0,0,0,0,88,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,2040
"2019-wimbledon-2101",2019,1,9,55,"Ashleigh Barty","Saisai Zheng",2,1,1,"BC","CTL",5,14.62,25.528,"40","30","40-30",0,1,0.866117404737384,23.67,0,0,4,4,0,0,0,0,87,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,2073
"2019-wimbledon-2101",2019,1,9,56,"Ashleigh Barty","Saisai Zheng",2,1,2,"W","NCTL",8,27.625,26.944,"40","40","40-40",0,0,0.826295914864401,43.65,0,0,4,4,0,0,0,0,83,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,2134
"2019-wimbledon-2101",2019,1,9,57,"Ashleigh Barty","Saisai Zheng",2,1,1,"C","NCTL",13,41.47,37.151,"AD","40","AD-40",0,1,0.87607277720563,23.67,0,0,4,4,0,0,0,0,88,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,2176
"2019-wimbledon-2101",2019,1,9,58,"Ashleigh Barty","Saisai Zheng",1,2,1,"C","NCTL",7,24.357,22.791,"0","0","0-0",1,0,1.16158612143742,23.09,0,0,5,4,0,0,0,0,109,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,2229
"2019-wimbledon-2101",2019,1,10,59,"Ashleigh Barty","Saisai Zheng",1,2,1,"BC","CTL",10,32.426,31.624,"15","0","0-15",0,0,1.01239157372986,34.74,0,0,5,4,0,0,0,0,95,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,2346
"2019-wimbledon-2101",2019,1,10,60,"Ashleigh Barty","Saisai Zheng",1,2,1,"B","CTL",6,18.157,24,"30","0","0-30",0,0,1.02304832713755,41.98,0,0,5,4,0,0,0,0,96,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,2384
"2019-wimbledon-2101",2019,1,10,61,"Ashleigh Barty","Saisai Zheng",2,2,1,"BC","NCTL",12,39.78,34.247,"40","0","0-40",0,0,0.895167286245353,30.75,0,0,5,4,0,0,0,0,84,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,2419
